# Atomic number Z= 29  Date:29-06-2020

#	Number	Shelli	2Ji	Eigi	--->	Shellf	2Jf	Eigf	Energy(eV)	BranchingRatio	TransitionYield	Intensity(eV)	Weight(%)	RadWidth(eV)	AugWidth(eV)	TotWidth(eV)
	36	K	2	1	--->	L3	3	3	9.06E+02	4.55E+11	4.55E+11	4.55E+11	4.55E+11	4.55E+11	4.55E+11	3.00E-04
	37	K	2	1	--->	L3	3	4	9.06E+02	4.37E+12	4.37E+12	4.37E+12	4.37E+12	4.37E+12	4.37E+12	2.87E-03
	38	K	2	1	--->	L3	5	1	9.09E+02	6.53E+12	6.53E+12	6.53E+12	6.53E+12	6.53E+12	6.53E+12	4.30E-03
	39	K	2	1	--->	L3	5	2	9.08E+02	2.23E+13	2.23E+13	2.23E+13	2.23E+13	2.23E+13	2.23E+13	1.47E-02
	40	K	2	1	--->	L3	5	4	9.06E+02	5.45E+12	5.45E+12	5.45E+12	5.45E+12	5.45E+12	5.45E+12	3.59E-03
	41	K	2	1	--->	L3	7	1	9.09E+02	4.14E+12	4.14E+12	4.14E+12	4.14E+12	4.14E+12	4.14E+12	2.73E-03
	42	K	2	1	--->	L3	7	3	9.05E+02	1.84E+14	1.84E+14	1.84E+14	1.84E+14	1.84E+14	1.84E+14	1.21E-01
	43	K	2	1	--->	L3	9	2	9.05E+02	2.38E+13	2.38E+13	2.38E+13	2.38E+13	2.38E+13	2.38E+13	1.57E-02
	44	K	4	1	--->	L3	1	1	9.06E+02	3.65E+11	3.65E+11	3.65E+11	3.65E+11	3.65E+11	3.65E+11	2.41E-04
	45	K	4	1	--->	L3	1	2	9.05E+02	2.15E+11	2.15E+11	2.15E+11	2.15E+11	2.15E+11	2.15E+11	1.42E-04
	46	K	4	1	--->	L3	3	1	9.09E+02	7.00E+12	7.00E+12	7.00E+12	7.00E+12	7.00E+12	7.00E+12	4.61E-03
	47	K	4	1	--->	L3	3	3	9.06E+02	2.84E+12	2.84E+12	2.84E+12	2.84E+12	2.84E+12	2.84E+12	1.87E-03
	48	K	4	1	--->	L3	3	4	9.06E+02	9.41E+11	9.41E+11	9.41E+11	9.41E+11	9.41E+11	9.41E+11	6.19E-04
	49	K	4	1	--->	L3	5	1	9.09E+02	1.39E+13	1.39E+13	1.39E+13	1.39E+13	1.39E+13	1.39E+13	9.14E-03
	50	K	4	1	--->	L3	5	2	9.08E+02	4.47E+12	4.47E+12	4.47E+12	4.47E+12	4.47E+12	4.47E+12	2.94E-03
	51	K	4	1	--->	L3	5	4	9.06E+02	6.44E+12	6.44E+12	6.44E+12	6.44E+12	6.44E+12	6.44E+12	4.24E-03
	52	K	4	1	--->	L3	7	1	9.09E+02	2.31E+13	2.31E+13	2.31E+13	2.31E+13	2.31E+13	2.31E+13	1.52E-02
	53	K	4	1	--->	L3	7	3	9.05E+02	3.80E+13	3.80E+13	3.80E+13	3.80E+13	3.80E+13	3.80E+13	2.50E-02
	54	K	4	1	--->	L3	9	2	9.05E+02	1.71E+14	1.71E+14	1.71E+14	1.71E+14	1.71E+14	1.71E+14	1.13E-01
	55	K	2	1	--->	L3	1	3	9.00E+02	7.01E+12	7.01E+12	7.01E+12	7.01E+12	7.01E+12	7.01E+12	4.61E-03
	56	K	2	1	--->	L3	3	2	9.07E+02	8.23E+12	8.23E+12	8.23E+12	8.23E+12	8.23E+12	8.23E+12	5.42E-03
	57	K	2	1	--->	L3	5	3	9.07E+02	2.37E+13	2.37E+13	2.37E+13	2.37E+13	2.37E+13	2.37E+13	1.56E-02
	58	K	2	1	--->	L3	7	2	9.08E+02	3.38E+13	3.38E+13	3.38E+13	3.38E+13	3.38E+13	3.38E+13	2.22E-02
	59	K	2	1	--->	L3	9	1	9.09E+02	9.91E+12	9.91E+12	9.91E+12	9.91E+12	9.91E+12	9.91E+12	6.52E-03
	60	K	4	1	--->	L3	1	3	9.00E+02	7.01E+12	7.01E+12	7.01E+12	7.01E+12	7.01E+12	7.01E+12	4.61E-03
	61	K	4	1	--->	L3	3	2	9.07E+02	1.77E+13	1.77E+13	1.77E+13	1.77E+13	1.77E+13	1.77E+13	1.16E-02
	62	K	4	1	--->	L3	5	3	9.07E+02	1.62E+13	1.62E+13	1.62E+13	1.62E+13	1.62E+13	1.62E+13	1.06E-02
	63	K	4	1	--->	L3	7	2	9.08E+02	6.51E+12	6.51E+12	6.51E+12	6.51E+12	6.51E+12	6.51E+12	4.28E-03
	64	K	4	1	--->	L3	9	1	9.09E+02	2.88E+13	2.88E+13	2.88E+13	2.88E+13	2.88E+13	2.88E+13	1.90E-02


