# Atomic number Z= 29  Date:04-11-2021

# Record	Shelli	  2Ji		  Eigi --->		Shellf	  2Jf			Eigf		   Energy (eV)			 Rate(1/s)			 Width(eV)
	  62	   K1	    0	         1 ---> 	 L2M4	    1	         4	           7999.46	        2.9936e-06	           1.51732
	  63	   K1	    0	         1 ---> 	 L2M5	    5	         7	           8000.12	       3.18106e-05	           1.51732
	  64	   K1	    0	         1 ---> 	 L2M5	    7	         4	           8000.39	       0.000369955	           1.51732
	  65	   K1	    0	         1 ---> 	 L2M5	    3	         6	           8000.85	       5.32794e-06	           1.51732
	  66	   K1	    0	         1 ---> 	 L2M5	    5	         6	           8001.15	       4.20451e-06	           1.51732
	  67	   K1	    0	         1 ---> 	 L2M4	    5	         5	           8002.35	       0.000103377	           1.51732
	  68	   K1	    0	         1 ---> 	 L2M4	    3	         5	           8002.56	       1.73266e-07	           1.51732
	  69	   K1	    0	         1 ---> 	 L2N1	    1	         1	           8010.75	       4.26103e-07	           1.51732
	  70	   K1	    0	         1 ---> 	 L3M5	    1	         3	           8020.58	       1.85226e-08	           1.51732
	  71	   K1	    0	         1 ---> 	 L3M5	    3	         4	           8020.71	       3.24564e-06	           1.51732
	  72	   K1	    0	         1 ---> 	 L3M5	    5	         4	           8021.02	        0.00029136	           1.51732
	  73	   K1	    0	         1 ---> 	 L3M4	    7	         3	           8021.02	        0.00011367	           1.51732
	  74	   K1	    0	         1 ---> 	 L3M4	    1	         2	           8021.81	       4.37869e-06	           1.51732
	  75	   K1	    0	         1 ---> 	 L3M4	    3	         3	           8022.16	       3.73094e-06	           1.51732
	  76	   K1	    0	         1 ---> 	 L3M4	    1	         1	           8022.27	       1.21371e-06	           1.51732
	  77	   K1	    0	         1 ---> 	 L3M4	    3	         2	           8022.74	       2.50199e-06	           1.51732
	  78	   K1	    0	         1 ---> 	 L3M4	    5	         3	           8022.87	       2.83169e-05	           1.51732
	  79	   K1	    0	         1 ---> 	 L3M4	    5	         2	           8023.62	       6.97033e-05	           1.51732
	  80	   K1	    0	         1 ---> 	 L3M5	    7	         2	           8023.85	       4.78017e-05	           1.51732
	  81	   K1	    0	         1 ---> 	 L3M5	    7	         1	            8024.7	       0.000183309	           1.51732
	  82	   K1	    0	         1 ---> 	 L3M5	    5	         1	           8024.75	       1.20122e-05	           1.51732
	  83	   K1	    0	         1 ---> 	 L3M5	    3	         1	            8024.8	       4.76954e-07	           1.51732
	  84	   K1	    0	         1 ---> 	 L3M5	    9	         1	           8025.05	        8.9561e-09	           1.51732
	  85	   K1	    0	         1 ---> 	 L3N1	    3	         1	           8032.82	       1.35218e-07	           1.51732
	  86	   K1	    0	         1 ---> 	 M1M1	    1	         1	           8701.06	       0.000167592	           1.51732
	  87	   K1	    0	         1 ---> 	 M1M3	    3	         3	           8741.82	       0.000205613	           1.51732
	  88	   K1	    0	         1 ---> 	 M1M3	    1	         3	           8741.98	       0.000114328	           1.51732
	  89	   K1	    0	         1 ---> 	 M1M2	    1	         2	           8755.51	       2.99568e-05	           1.51732
	  90	   K1	    0	         1 ---> 	 M1M2	    1	         1	           8756.41	       8.61181e-06	           1.51732
	  91	   K1	    0	         1 ---> 	 M1M2	    3	         2	            8756.6	       3.60988e-05	           1.51732
	  92	   K1	    0	         1 ---> 	 M1M3	    3	         1	            8757.9	       4.16777e-05	           1.51732
	  93	   K1	    0	         1 ---> 	 M1M3	    5	         1	           8758.33	       3.64312e-08	           1.51732
	  94	   K1	    0	         1 ---> 	 M2M2	    1	         3	           8790.52	       7.08626e-05	           1.51732
	  95	   K1	    0	         1 ---> 	 M2M3	    3	         3	           8796.89	       0.000284016	           1.51732
	  96	   K1	    0	         1 ---> 	 M2M3	    5	         2	           8796.93	       0.000431873	           1.51732
	  97	   K1	    0	         1 ---> 	 M2M3	    1	         2	            8799.8	       1.38709e-06	           1.51732
	  98	   K1	    0	         1 ---> 	 M2M3	    3	         2	           8800.45	       2.40937e-07	           1.51732
	  99	   K1	    0	         1 ---> 	 M2M3	    1	         1	           8800.51	       3.22654e-06	           1.51732
	 100	   K1	    0	         1 ---> 	 M3M3	    3	         1	           8802.09	       1.46614e-05	           1.51732
	 101	   K1	    0	         1 ---> 	 M3M3	    5	         1	           8802.67	       2.46967e-05	           1.51732
	 102	   K1	    0	         1 ---> 	 M1M5	    5	         3	           8825.09	       1.88254e-07	           1.51732
	 103	   K1	    0	         1 ---> 	 M1M5	    3	         3	            8825.1	       2.02665e-07	           1.51732
	 104	   K1	    0	         1 ---> 	 M1M4	    3	         2	            8830.1	       7.15274e-06	           1.51732
	 105	   K1	    0	         1 ---> 	 M1M5	    5	         2	           8830.29	        9.8704e-06	           1.51732
	 106	   K1	    0	         1 ---> 	 M1M4	    1	         1	           8830.66	        7.1483e-10	           1.51732
	 107	   K1	    0	         1 ---> 	 M1M4	    3	         1	           8830.72	        4.3523e-09	           1.51732
	 108	   K1	    0	         1 ---> 	 M1M5	    5	         1	           8830.81	       1.95729e-08	           1.51732
	 109	   K1	    0	         1 ---> 	 M1M5	    7	         1	           8830.94	       6.18689e-10	           1.51732
	 110	   K1	    0	         1 ---> 	 M1N1	    1	         1	            8837.6	       6.60228e-07	           1.51732
	 111	   K1	    0	         1 ---> 	 M2M5	    5	         7	           8867.53	       2.75471e-05	           1.51732
	 112	   K1	    0	         1 ---> 	 M2M5	    7	         4	           8867.54	       4.20382e-05	           1.51732
	 113	   K1	    0	         1 ---> 	 M2M4	    3	         7	           8868.62	       1.62638e-07	           1.51732
	 114	   K1	    0	         1 ---> 	 M2M4	    1	         4	           8868.63	       1.79492e-07	           1.51732
	 115	   K1	    0	         1 ---> 	 M2M5	    3	         6	           8874.86	       3.25283e-07	           1.51732
	 116	   K1	    0	         1 ---> 	 M2M5	    5	         6	           8875.31	       1.35032e-07	           1.51732
	 117	   K1	    0	         1 ---> 	 M2M4	    3	         5	           8875.67	       4.20409e-08	           1.51732
	 118	   K1	    0	         1 ---> 	 M2M4	    1	         3	           8875.82	        3.4598e-08	           1.51732
	 119	   K1	    0	         1 ---> 	 M3M5	    5	         5	           8876.27	       5.42209e-07	           1.51732
	 120	   K1	    0	         1 ---> 	 M3M5	    7	         3	           8876.84	       1.06437e-07	           1.51732
	 121	   K1	    0	         1 ---> 	 M3M4	    3	         4	           8876.89	       7.34605e-07	           1.51732
	 122	   K1	    0	         1 ---> 	 M3M4	    1	         2	           8877.24	       5.07795e-07	           1.51732
	 123	   K1	    0	         1 ---> 	 M3M4	    5	         4	           8877.46	         7.858e-08	           1.51732
	 124	   K1	    0	         1 ---> 	 M3M4	    3	         3	           8877.87	       2.78051e-08	           1.51732
	 125	   K1	    0	         1 ---> 	 M3M4	    1	         1	           8877.99	       3.03276e-09	           1.51732
	 126	   K1	    0	         1 ---> 	 M2M4	    5	         3	           8880.53	       1.00077e-05	           1.51732
	 127	   K1	    0	         1 ---> 	 M2M4	    3	         2	           8880.83	       2.00046e-08	           1.51732
	 128	   K1	    0	         1 ---> 	 M3M4	    5	         2	           8882.14	       9.81578e-06	           1.51732
	 129	   K1	    0	         1 ---> 	 M3M4	    7	         2	           8882.32	          1.18e-05	           1.51732
	 130	   K1	    0	         1 ---> 	 M3M5	    3	         1	           8882.56	       3.54752e-09	           1.51732
	 131	   K1	    0	         1 ---> 	 M3M4	    5	         1	            8882.6	       1.42947e-07	           1.51732
	 132	   K1	    0	         1 ---> 	 M3M5	    7	         1	           8883.32	         9.354e-06	           1.51732
	 133	   K1	    0	         1 ---> 	 M3M5	    9	         1	           8883.79	        1.3561e-09	           1.51732
	 134	   K1	    0	         1 ---> 	 M2N1	    1	         1	           8883.91	       1.55537e-08	           1.51732
