# Atomic	number	Z=	34	Date:31-10-2019							
											
# Record	Shelli	2Ji	Eigi	--->	Shellf	2Jf	Eigf	Energy(eV)	Rate(1/s)	Width(eV)	Peso
670	K	5	1	--->	M5	1	1	1.260257E+04	2.032670E+09	1.337928E-06	2.000000E-01
671	K	5	1	--->	M4	1	2	1.260165E+04	4.261660E+10	2.805075E-05	2.000000E-01
672	K	5	1	--->	M4	1	3	1.260082E+04	2.864290E+09	1.885310E-06	2.000000E-01
673	K	5	1	--->	M5	1	4	1.259944E+04	6.425440E+06	4.229301E-09	2.000000E-01
674	K	5	1	--->	M4	1	5	1.259859E+04	1.237990E+08	8.148598E-08	2.000000E-01
675	K	5	1	--->	M5	3	1	1.260240E+04	1.724980E+10	1.135402E-05	2.000000E-01
676	K	5	1	--->	M4	3	2	1.260157E+04	5.633980E+10	3.708353E-05	2.000000E-01
677	K	5	1	--->	M4	3	3	1.260152E+04	2.415490E+09	1.589904E-06	2.000000E-01
678	K	5	1	--->	M4	3	4	1.260109E+04	1.637990E+10	1.078145E-05	2.000000E-01
679	K	5	1	--->	M4	3	5	1.260050E+04	2.298150E+09	1.512670E-06	2.000000E-01
680	K	5	1	--->	M5	3	6	1.260008E+04	1.223200E+09	8.051248E-07	2.000000E-01
681	K	5	1	--->	M4	3	7	1.259926E+04	4.509960E+07	2.968510E-08	2.000000E-01
682	K	5	1	--->	M4	3	8	1.259702E+04	8.315000E+06	5.473032E-09	2.000000E-01
683	K	5	1	--->	M5	5	1	1.260224E+04	4.292340E+10	2.825269E-05	2.000000E-01
684	K	5	1	--->	M5	5	2	1.260188E+04	1.546350E+10	1.017826E-05	2.000000E-01
685	K	5	1	--->	M5	5	3	1.260156E+04	2.893970E+10	1.904846E-05	2.000000E-01
686	K	5	1	--->	M4	5	4	1.260121E+04	4.541910E+10	2.989539E-05	2.000000E-01
687	K	5	1	--->	M5	5	5	1.260076E+04	4.417860E+08	2.907888E-07	2.000000E-01
688	K	5	1	--->	M4	5	6	1.260040E+04	6.697820E+09	4.408585E-06	2.000000E-01
689	K	5	1	--->	M4	5	7	1.259981E+04	6.948030E+08	4.573276E-07	2.000000E-01
690	K	5	1	--->	M5	5	8	1.259779E+04	4.111120E+07	2.705988E-08	2.000000E-01
691	K	5	1	--->	M5	7	1	1.260226E+04	1.030710E+11	6.784256E-05	2.000000E-01
692	K	5	1	--->	M5	7	2	1.260187E+04	1.267150E+10	8.340533E-06	2.000000E-01
693	K	5	1	--->	M4	7	3	1.260135E+04	6.768260E+10	4.454950E-05	2.000000E-01
694	K	5	1	--->	M5	7	4	1.260056E+04	2.844100E+09	1.872021E-06	2.000000E-01
695	K	5	1	--->	M4	7	5	1.259942E+04	1.322760E+07	8.706564E-09	2.000000E-01
696	K	5	1	--->	M5	9	1	1.260257E+04	2.289630E+11	1.507062E-04	2.000000E-01
697	K	5	1	--->	M5	9	2	1.260021E+04	2.294410E+08	1.510208E-07	2.000000E-01
698	K	5	1	--->	N1	1	1	1.264424E+04	2.016230E+07	1.327107E-08	2.000000E-01
699	K	5	1	--->	N1	1	2	1.263799E+04	2.406550E+05	1.584020E-10	2.000000E-01
700	K	5	1	--->	N1	1	3	1.263591E+04	3.898470E+03	2.566019E-12	2.000000E-01
701	K	5	1	--->	N1	3	1	1.264433E+04	3.575980E+07	2.353753E-08	2.000000E-01
702	K	5	1	--->	N1	3	2	1.264020E+04	1.251780E+06	8.239365E-10	2.000000E-01
703	K	5	1	--->	N1	3	3	1.263620E+04	2.442110E+07	1.607426E-08	2.000000E-01
704	K	5	1	--->	N1	5	1	1.264454E+04	4.796090E+07	3.156844E-08	2.000000E-01
705	K	5	1	--->	N1	5	2	1.264013E+04	2.638360E+06	1.736600E-09	2.000000E-01
706	K	5	1	--->	N2	1	1	1.265191E+04	7.408650E+07	4.876462E-08	2.000000E-01
707	K	5	1	--->	N2	3	1	1.265556E+04	7.558960E+12	4.975398E-03	2.000000E-01
708	K	5	1	--->	N2	3	2	1.265340E+04	1.723120E+10	1.134178E-05	2.000000E-01
709	K	5	1	--->	N2	3	3	1.265181E+04	4.609760E+09	3.034199E-06	2.000000E-01
710	K	5	1	--->	N2	5	1	1.265334E+04	1.823950E+11	1.200546E-04	2.000000E-01
711	K	5	2	--->	K	1	1	1.467050E+00	2.302830E-05	1.515750E-20	2.000000E-01
712	K	5	2	--->	K	1	2	1.155020E+00	3.830230E-04	2.521103E-19	2.000000E-01
713	K	5	2	--->	K	3	1	1.681100E+00	7.685790E-03	5.058879E-18	2.000000E-01
714	K	5	2	--->	K	3	2	1.408750E+00	4.644270E-01	3.056914E-16	2.000000E-01
715	K	5	2	--->	K	5	1	1.917770E+00	2.196210E+00	1.445572E-15	2.000000E-01
716	K	5	2	--->	L1	1	1	1.099813E+04	6.549040E+05	4.310656E-10	2.000000E-01
717	K	5	2	--->	L1	1	2	1.099789E+04	1.205180E+08	7.932639E-08	2.000000E-01
718	K	5	2	--->	L1	1	3	1.099431E+04	2.894160E+10	1.904971E-05	2.000000E-01
719	K	5	2	--->	L1	3	1	1.099836E+04	5.534720E+08	3.643019E-07	2.000000E-01
720	K	5	2	--->	L1	3	2	1.099810E+04	8.488990E+06	5.587555E-09	2.000000E-01
721	K	5	2	--->	L1	3	3	1.099666E+04	1.053880E+10	6.936764E-06	2.000000E-01
722	K	5	2	--->	L1	5	1	1.099853E+04	1.429820E+09	9.411246E-07	2.000000E-01
723	K	5	2	--->	L1	5	2	1.099667E+04	3.993530E+10	2.628589E-05	2.000000E-01
724	K	5	2	--->	L3	1	1	1.122330E+04	6.405440E+06	4.216137E-09	2.000000E-01
725	K	5	2	--->	L3	1	2	1.122245E+04	9.441370E+08	6.214422E-07	2.000000E-01
726	K	5	2	--->	L3	1	3	1.122079E+04	1.581910E+10	1.041232E-05	2.000000E-01
727	K	5	2	--->	L2	1	4	1.118186E+04	2.128580E+03	1.401057E-12	2.000000E-01
728	K	5	2	--->	L2	1	5	1.118157E+04	5.793260E+05	3.813193E-10	2.000000E-01
729	K	5	2	--->	L2	1	6	1.117785E+04	9.443390E+04	6.215752E-11	2.000000E-01
730	K	5	2	--->	L3	3	1	1.122262E+04	2.001900E+12	1.317674E-03	2.000000E-01
731	K	5	2	--->	L3	3	2	1.122249E+04	7.799350E+11	5.133625E-04	2.000000E-01
732	K	5	2	--->	L3	3	3	1.122246E+04	2.549010E+12	1.677789E-03	2.000000E-01
733	K	5	2	--->	L3	3	4	1.122107E+04	7.143270E+13	4.701786E-02	2.000000E-01
734	K	5	2	--->	L3	3	5	1.121883E+04	1.267100E+11	8.340203E-05	2.000000E-01
735	K	5	2	--->	L2	3	6	1.118195E+04	3.941490E+11	2.594336E-04	2.000000E-01
736	K	5	2	--->	L2	3	7	1.118154E+04	1.283120E+13	8.445649E-03	2.000000E-01
737	K	5	2	--->	L2	3	8	1.117995E+04	3.071810E+14	2.021902E-01	2.000000E-01
738	K	5	2	--->	L3	5	1	1.122306E+04	4.516750E+12	2.972979E-03	2.000000E-01
739	K	5	2	--->	L3	5	2	1.122279E+04	4.948590E+12	3.257221E-03	2.000000E-01
740	K	5	2	--->	L3	5	3	1.122113E+04	3.010300E+14	1.981415E-01	2.000000E-01
741	K	5	2	--->	L2	5	4	1.118193E+04	1.317900E+12	8.674575E-04	2.000000E-01
742	K	5	2	--->	L2	5	5	1.118030E+04	2.800360E+14	1.843230E-01	2.000000E-01
743	K	5	2	--->	L3	7	1	1.122327E+04	5.116790E+10	3.367932E-05	2.000000E-01
744	K	5	2	--->	L3	7	2	1.122132E+04	7.789580E+14	5.127195E-01	2.000000E-01
745	K	5	2	--->	M1	1	1	1.242395E+04	7.082000E+04	4.661457E-11	2.000000E-01
746	K	5	2	--->	M1	1	2	1.242319E+04	4.188470E+06	2.756901E-09	2.000000E-01
747	K	5	2	--->	M1	1	3	1.242000E+04	9.706500E+08	6.388934E-07	2.000000E-01
748	K	5	2	--->	M1	3	1	1.242410E+04	1.513600E+07	9.962696E-09	2.000000E-01
749	K	5	2	--->	M1	3	2	1.242350E+04	8.580580E+06	5.647840E-09	2.000000E-01
750	K	5	2	--->	M1	3	3	1.242232E+04	5.600060E+08	3.686026E-07	2.000000E-01
751	K	5	2	--->	M1	5	1	1.242437E+04	4.441680E+07	2.923567E-08	2.000000E-01
752	K	5	2	--->	M1	5	2	1.242234E+04	1.510320E+09	9.941107E-07	2.000000E-01
753	K	5	2	--->	M3	1	1	1.249456E+04	4.613230E+05	3.036483E-10	2.000000E-01
754	K	5	2	--->	M3	1	2	1.249289E+04	4.401670E+08	2.897232E-07	2.000000E-01
755	K	5	2	--->	M3	1	3	1.249073E+04	2.431430E+09	1.600396E-06	2.000000E-01
756	K	5	2	--->	M2	1	4	1.248784E+04	3.037470E+04	1.999299E-11	2.000000E-01
757	K	5	2	--->	M2	1	5	1.248710E+04	8.705550E+07	5.730097E-08	2.000000E-01
758	K	5	2	--->	M2	1	6	1.248359E+04	1.419900E+07	9.345951E-09	2.000000E-01
759	K	5	2	--->	M3	3	1	1.249324E+04	2.854210E+11	1.878675E-04	2.000000E-01
760	K	5	2	--->	M3	3	2	1.249314E+04	4.417160E+11	2.907427E-04	2.000000E-01
761	K	5	2	--->	M3	3	3	1.249290E+04	2.051380E+12	1.350243E-03	2.000000E-01
762	K	5	2	--->	M3	3	4	1.249129E+04	4.807450E+12	3.164321E-03	2.000000E-01
763	K	5	2	--->	M3	3	5	1.248949E+04	1.969480E+10	1.296335E-05	2.000000E-01
764	K	5	2	--->	M2	3	6	1.248774E+04	1.382300E+12	9.098464E-04	2.000000E-01
765	K	5	2	--->	M2	3	7	1.248705E+04	6.460840E+12	4.252602E-03	2.000000E-01
766	K	5	2	--->	M2	3	8	1.248502E+04	3.673540E+13	2.417968E-02	2.000000E-01
767	K	5	2	--->	M3	5	1	1.249378E+04	6.237140E+12	4.105360E-03	2.000000E-01
768	K	5	2	--->	M3	5	2	1.249361E+04	1.122490E+11	7.388363E-05	2.000000E-01
769	K	5	2	--->	M3	5	3	1.249181E+04	3.834750E+13	2.524078E-02	2.000000E-01
770	K	5	2	--->	M2	5	4	1.248749E+04	1.534360E+11	1.009934E-04	2.000000E-01
771	K	5	2	--->	M2	5	5	1.248613E+04	3.997820E+13	2.631413E-02	2.000000E-01
772	K	5	2	--->	M3	7	1	1.249422E+04	7.146210E+10	4.703721E-05	2.000000E-01
773	K	5	2	--->	M3	7	2	1.249200E+04	1.145450E+14	7.539489E-02	2.000000E-01
774	K	5	2	--->	M5	1	1	1.260449E+04	2.063550E+08	1.358253E-07	2.000000E-01
775	K	5	2	--->	M4	1	2	1.260357E+04	4.438370E+07	2.921388E-08	2.000000E-01
776	K	5	2	--->	M4	1	3	1.260274E+04	4.480220E+07	2.948934E-08	2.000000E-01
777	K	5	2	--->	M5	1	4	1.260136E+04	2.216220E+08	1.458742E-07	2.000000E-01
778	K	5	2	--->	M4	1	5	1.260051E+04	4.691210E+10	3.087810E-05	2.000000E-01
779	K	5	2	--->	M5	3	1	1.260431E+04	8.215550E+08	5.407573E-07	2.000000E-01
780	K	5	2	--->	M4	3	2	1.260349E+04	3.094550E+08	2.036870E-07	2.000000E-01
781	K	5	2	--->	M4	3	3	1.260344E+04	8.844710E+06	5.821694E-09	2.000000E-01
782	K	5	2	--->	M4	3	4	1.260301E+04	3.537210E+08	2.328234E-07	2.000000E-01
783	K	5	2	--->	M4	3	5	1.260242E+04	3.591040E+08	2.363665E-07	2.000000E-01
784	K	5	2	--->	M5	3	6	1.260200E+04	7.650710E+08	5.035789E-07	2.000000E-01
785	K	5	2	--->	M4	3	7	1.260118E+04	8.923550E+10	5.873587E-05	2.000000E-01
786	K	5	2	--->	M4	3	8	1.259894E+04	2.719360E+09	1.789915E-06	2.000000E-01
787	K	5	2	--->	M5	5	1	1.260416E+04	3.771100E+06	2.482183E-09	2.000000E-01
788	K	5	2	--->	M5	5	2	1.260380E+04	7.622170E+08	5.017003E-07	2.000000E-01
789	K	5	2	--->	M5	5	3	1.260348E+04	1.250310E+07	8.229690E-09	2.000000E-01
790	K	5	2	--->	M4	5	4	1.260312E+04	3.351670E+08	2.206109E-07	2.000000E-01
791	K	5	2	--->	M5	5	5	1.260267E+04	3.912490E+10	2.575248E-05	2.000000E-01
792	K	5	2	--->	M4	5	6	1.260232E+04	1.879430E+10	1.237063E-05	2.000000E-01
793	K	5	2	--->	M4	5	7	1.260172E+04	7.300640E+10	4.805368E-05	2.000000E-01
794	K	5	2	--->	M5	5	8	1.259971E+04	9.249180E+09	6.087921E-06	2.000000E-01
795	K	5	2	--->	M5	7	1	1.260418E+04	5.129010E+09	3.375976E-06	2.000000E-01
796	K	5	2	--->	M5	7	2	1.260379E+04	5.136190E+09	3.380702E-06	2.000000E-01
797	K	5	2	--->	M4	7	3	1.260327E+04	3.452780E+10	2.272661E-05	2.000000E-01
798	K	5	2	--->	M5	7	4	1.260248E+04	1.004780E+11	6.613582E-05	2.000000E-01
799	K	5	2	--->	M4	7	5	1.260134E+04	4.088590E+10	2.691159E-05	2.000000E-01
800	K	5	2	--->	M5	9	1	1.260449E+04	2.182070E+08	1.436265E-07	2.000000E-01
801	K	5	2	--->	M5	9	2	1.260213E+04	2.287760E+11	1.505831E-04	2.000000E-01
802	K	5	2	--->	N1	1	1	1.264615E+04	6.497850E+04	4.276962E-11	2.000000E-01
803	K	5	2	--->	N1	1	2	1.263991E+04	5.239580E+07	3.448754E-08	2.000000E-01
804	K	5	2	--->	N1	1	3	1.263782E+04	9.123650E+05	6.005295E-10	2.000000E-01
805	K	5	2	--->	N1	3	1	1.264624E+04	4.908410E+05	3.230774E-10	2.000000E-01
806	K	5	2	--->	N1	3	2	1.264212E+04	4.946930E+07	3.256128E-08	2.000000E-01
807	K	5	2	--->	N1	3	3	1.263811E+04	7.800780E+05	5.134567E-10	2.000000E-01
808	K	5	2	--->	N1	5	1	1.264646E+04	1.043410E+06	6.867849E-10	2.000000E-01
809	K	5	2	--->	N1	5	2	1.264205E+04	9.998080E+07	6.580856E-08	2.000000E-01
810	K	5	2	--->	N2	1	1	1.265383E+04	2.615340E+08	1.721448E-07	2.000000E-01
811	K	5	2	--->	N2	3	1	1.265748E+04	4.736670E+10	3.117733E-05	2.000000E-01
812	K	5	2	--->	N2	3	2	1.265532E+04	2.284870E+11	1.503929E-04	2.000000E-01
813	K	5	2	--->	N2	3	3	1.265373E+04	4.303220E+12	2.832431E-03	2.000000E-01
814	K	5	2	--->	N2	5	1	1.265526E+04	1.028170E+13	6.767538E-03	2.000000E-01
											
815	L1	1	1	--->	L1	3	1	2.359600E-01	1.926090E-01	1.267775E-16	
816	L1	1	1	--->	L1	5	1	4.071400E-01	3.117740E-04	2.052134E-19	
817	L1	1	1	--->	L3	1	1	2.251708E+02	6.726670E+09	4.427575E-06	
818	L1	1	1	--->	L3	1	2	2.243282E+02	5.008830E+10	3.296872E-05	
819	L1	1	1	--->	L3	1	3	2.226692E+02	2.988580E+09	1.967119E-06	
820	L1	1	1	--->	L2	1	4	1.837356E+02	3.901430E+09	2.567968E-06	
821	L1	1	1	--->	L2	1	5	1.834432E+02	3.055560E+10	2.011206E-05	
822	L1	1	1	--->	L2	1	6	1.797295E+02	1.711600E+07	1.126596E-08	
823	L1	1	1	--->	L3	3	1	2.244940E+02	1.098080E+11	7.227694E-05	
824	L1	1	1	--->	L3	3	2	2.243671E+02	7.016610E+10	4.618416E-05	
825	L1	1	1	--->	L3	3	3	2.243348E+02	2.772110E+09	1.824636E-06	
826	L1	1	1	--->	L3	3	4	2.229427E+02	3.486300E+08	2.294724E-07	
827	L1	1	1	--->	L3	3	5	2.207075E+02	6.674670E+07	4.393347E-08	
828	L1	1	1	--->	L2	3	6	1.838263E+02	4.992630E+09	3.286209E-06	
829	L1	1	1	--->	L2	3	7	1.834188E+02	2.459760E+10	1.619043E-05	
830	L1	1	1	--->	L2	3	8	1.818212E+02	1.229740E+09	8.094296E-07	
831	L1	1	1	--->	L3	5	1	2.249330E+02	9.220340E+01	6.068938E-14	
832	L1	1	1	--->	L3	5	2	2.246667E+02	3.714070E+03	2.444645E-12	
833	L1	1	1	--->	L3	5	3	2.230064E+02	4.291780E+01	2.824901E-14	
834	L1	1	1	--->	L2	5	4	1.838010E+02	3.194930E-02	2.102941E-17	
835	L1	1	1	--->	L2	5	5	1.821732E+02	4.356180E-03	2.867290E-18	
836	L1	1	1	--->	L3	7	1	0.000000E+00	0.000000E+00	0.000000E+00	
837	L1	1	1	--->	L3	7	2	0.000000E+00	0.000000E+00	0.000000E+00	
838	L1	1	1	--->	M1	1	1	1.425826E+03	6.520270E+05	4.291720E-10	
839	L1	1	1	--->	M1	1	2	1.425067E+03	1.047290E+05	6.893388E-11	
840	L1	1	1	--->	M1	1	3	1.421875E+03	6.691150E+02	4.404195E-13	
841	L1	1	1	--->	M1	3	1	1.425977E+03	7.382480E+07	4.859236E-08	
842	L1	1	1	--->	M1	3	2	1.425374E+03	6.241660E+07	4.108335E-08	
843	L1	1	1	--->	M1	3	3	1.424197E+03	1.772850E+07	1.166911E-08	
844	L1	1	1	--->	M1	5	1	1.426241E+03	8.869330E+08	5.837899E-07	
845	L1	1	1	--->	M1	5	2	1.424215E+03	3.096910E+05	2.038423E-10	
846	L1	1	1	--->	M3	1	1	1.496437E+03	3.451830E+11	2.272036E-04	
847	L1	1	1	--->	M3	1	2	1.494765E+03	2.382020E+12	1.567874E-03	
848	L1	1	1	--->	M3	1	3	1.492602E+03	8.570990E+11	5.641528E-04	
849	L1	1	1	--->	M2	1	4	1.489719E+03	3.095330E+11	2.037383E-04	
850	L1	1	1	--->	M2	1	5	1.488977E+03	1.941790E+12	1.278109E-03	
851	L1	1	1	--->	M2	1	6	1.485466E+03	2.933210E+09	1.930674E-06	
852	L1	1	1	--->	M3	3	1	1.495119E+03	8.489110E+12	5.587634E-03	
853	L1	1	1	--->	M3	3	2	1.495013E+03	9.399890E+10	6.187120E-05	
854	L1	1	1	--->	M3	3	3	1.494778E+03	5.317270E+11	3.499891E-04	
855	L1	1	1	--->	M3	3	4	1.493162E+03	4.888890E+10	3.217926E-05	
856	L1	1	1	--->	M3	3	5	1.491366E+03	1.187970E+11	7.819360E-05	
857	L1	1	1	--->	M2	3	6	1.489614E+03	9.372820E+11	6.169302E-04	
858	L1	1	1	--->	M2	3	7	1.488924E+03	1.103030E+12	7.260275E-04	
859	L1	1	1	--->	M2	3	8	1.486892E+03	3.401410E+11	2.238849E-04	
860	L1	1	1	--->	M3	5	1	1.495654E+03	7.638430E+05	5.027706E-10	
861	L1	1	1	--->	M3	5	2	1.495487E+03	6.405820E+06	4.216387E-09	
862	L1	1	1	--->	M3	5	3	1.493681E+03	2.068990E+05	1.361834E-10	
863	L1	1	1	--->	M2	5	4	1.489368E+03	4.837530E+04	3.184120E-11	
864	L1	1	1	--->	M2	5	5	1.488000E+03	6.681110E+03	4.397586E-12	
865	L1	1	1	--->	M3	7	1	0.000000E+00	0.000000E+00	0.000000E+00	
866	L1	1	1	--->	M3	7	2	0.000000E+00	0.000000E+00	0.000000E+00	
867	L1	1	1	--->	M5	1	1	1.606363E+03	8.071160E+01	5.312534E-14	
868	L1	1	1	--->	M4	1	2	1.605444E+03	4.419240E+02	2.908797E-13	
869	L1	1	1	--->	M4	1	3	1.604611E+03	5.576870E+03	3.670762E-12	
870	L1	1	1	--->	M5	1	4	1.603236E+03	1.413790E+01	9.305735E-15	
871	L1	1	1	--->	M4	1	5	1.602385E+03	3.277140E+00	2.157053E-15	
872	L1	1	1	--->	M5	3	1	1.606189E+03	2.146650E+09	1.412951E-06	
873	L1	1	1	--->	M4	3	2	1.605362E+03	1.036530E+09	6.822564E-07	
874	L1	1	1	--->	M4	3	3	1.605317E+03	2.793610E+10	1.838787E-05	
875	L1	1	1	--->	M4	3	4	1.604883E+03	1.121550E+09	7.382176E-07	
876	L1	1	1	--->	M4	3	5	1.604292E+03	1.843990E+09	1.213736E-06	
877	L1	1	1	--->	M5	3	6	1.603877E+03	1.259260E+08	8.288600E-08	
878	L1	1	1	--->	M4	3	7	1.603055E+03	3.075360E+04	2.024239E-11	
879	L1	1	1	--->	M4	3	8	1.600811E+03	4.634680E+04	3.050602E-11	
880	L1	1	1	--->	M5	5	1	1.606031E+03	1.311110E+10	8.629883E-06	
881	L1	1	1	--->	M5	5	2	1.605674E+03	4.955840E+09	3.261993E-06	
882	L1	1	1	--->	M5	5	3	1.605356E+03	2.889170E+10	1.901686E-05	
883	L1	1	1	--->	M4	5	4	1.604999E+03	3.966990E+07	2.611120E-08	
884	L1	1	1	--->	M5	5	5	1.604549E+03	5.656350E+08	3.723077E-07	
885	L1	1	1	--->	M4	5	6	1.604195E+03	2.982680E+09	1.963236E-06	
886	L1	1	1	--->	M4	5	7	1.603599E+03	1.310400E+09	8.625209E-07	
887	L1	1	1	--->	M5	5	8	1.601581E+03	1.147920E+07	7.555746E-09	
888	L1	1	1	--->	M5	7	1	1.606057E+03	1.508860E+04	9.931497E-12	
889	L1	1	1	--->	M5	7	2	1.605667E+03	2.311800E+04	1.521654E-11	
890	L1	1	1	--->	M4	7	3	1.605142E+03	6.176180E+03	4.065235E-12	
891	L1	1	1	--->	M5	7	4	1.604355E+03	1.511490E+03	9.948808E-13	
892	L1	1	1	--->	M4	7	5	1.603214E+03	5.546150E-02	3.650542E-17	
893	L1	1	1	--->	N1	1	1	1.648028E+03	2.633770E+04	1.733579E-11	
894	L1	1	1	--->	N1	1	2	1.641781E+03	6.861420E+02	4.516269E-13	
895	L1	1	1	--->	N1	1	3	1.639698E+03	1.979670E+04	1.303042E-11	
896	L1	1	1	--->	N1	3	1	1.648119E+03	9.636830E+06	6.343077E-09	
897	L1	1	1	--->	N1	3	2	1.643993E+03	1.116200E+06	7.346962E-10	
898	L1	1	1	--->	N1	3	3	1.639989E+03	4.267030E+06	2.808610E-09	
899	L1	1	1	--->	N1	5	1	1.648337E+03	8.639650E+07	5.686721E-08	
900	L1	1	1	--->	N1	5	2	1.643922E+03	5.648940E+05	3.718200E-10	
901	L1	1	1	--->	N2	1	1	1.655703E+03	5.307910E+09	3.493730E-06	
902	L1	1	1	--->	N2	3	1	1.659352E+03	4.285310E+11	2.820642E-04	
903	L1	1	1	--->	N2	3	2	1.657194E+03	4.288370E+10	2.822656E-05	
904	L1	1	1	--->	N2	3	3	1.655605E+03	2.968650E+10	1.954001E-05	
905	L1	1	1	--->	N2	5	1	1.657131E+03	1.893220E+05	1.246140E-10	
906	L1	1	2	--->	L1	1	1	2.378000E-01	2.188860E-02	1.440734E-17	
907	L1	1	2	--->	L1	3	1	4.737700E-01	1.938430E-01	1.275898E-16	
908	L1	1	2	--->	L1	3	2	2.126900E-01	7.830230E-02	5.153951E-17	
909	L1	1	2	--->	L1	5	1	6.449500E-01	1.555490E-04	1.023842E-19	
910	L1	1	2	--->	L3	1	1	2.254086E+02	6.194910E+09	4.077564E-06	
911	L1	1	2	--->	L3	1	2	2.245660E+02	4.257360E+10	2.802245E-05	
912	L1	1	2	--->	L3	1	3	2.229070E+02	2.257760E+09	1.486085E-06	
913	L1	1	2	--->	L2	1	4	1.839735E+02	3.427170E+09	2.255804E-06	
914	L1	1	2	--->	L2	1	5	1.836810E+02	3.595110E+10	2.366344E-05	
915	L1	1	2	--->	L2	1	6	1.799673E+02	5.319970E+07	3.501668E-08	
916	L1	1	2	--->	L3	3	1	2.247318E+02	1.447900E+10	9.530251E-06	
917	L1	1	2	--->	L3	3	2	2.246049E+02	7.781540E+08	5.121903E-07	
918	L1	1	2	--->	L3	3	3	2.245726E+02	1.770650E+11	1.165463E-04	
919	L1	1	2	--->	L3	3	4	2.231805E+02	4.187940E+09	2.756552E-06	
920	L1	1	2	--->	L3	3	5	2.209453E+02	3.806990E+07	2.505806E-08	
921	L1	1	2	--->	L2	3	6	1.840641E+02	4.481600E+09	2.949843E-06	
922	L1	1	2	--->	L2	3	7	1.836566E+02	2.222510E+10	1.462883E-05	
923	L1	1	2	--->	L2	3	8	1.820590E+02	1.339860E+09	8.819118E-07	
924	L1	1	2	--->	L3	5	1	2.251708E+02	8.095490E+01	5.328548E-14	
925	L1	1	2	--->	L3	5	2	2.249045E+02	3.260760E+03	2.146271E-12	
926	L1	1	2	--->	L3	5	3	2.232442E+02	3.768560E+01	2.480511E-14	
927	L1	1	2	--->	L2	5	4	1.840388E+02	2.808520E-02	1.848601E-17	
928	L1	1	2	--->	L2	5	5	1.824110E+02	3.829930E-03	2.520906E-18	
929	L1	1	2	--->	L3	7	1	0.000000E+00	0.000000E+00	0.000000E+00	
930	L1	1	2	--->	L3	7	2	0.000000E+00	0.000000E+00	0.000000E+00	
931	L1	1	2	--->	M1	1	1	1.426063E+03	3.572590E+04	2.351521E-11	
932	L1	1	2	--->	M1	1	2	1.425305E+03	1.645270E+04	1.082936E-11	
933	L1	1	2	--->	M1	1	3	1.422113E+03	8.322560E+02	5.478008E-13	
934	L1	1	2	--->	M1	3	1	1.426215E+03	7.764170E+07	5.110469E-08	
935	L1	1	2	--->	M1	3	2	1.425612E+03	9.144610E+08	6.019091E-07	
936	L1	1	2	--->	M1	3	3	1.424435E+03	2.871700E+06	1.890187E-09	
937	L1	1	2	--->	M1	5	1	1.426479E+03	4.379680E+07	2.882758E-08	
938	L1	1	2	--->	M1	5	2	1.424452E+03	1.625750E+07	1.070088E-08	
939	L1	1	2	--->	M3	1	1	1.496674E+03	5.942670E+11	3.911536E-04	
940	L1	1	2	--->	M3	1	2	1.495003E+03	1.207770E+12	7.949686E-04	
941	L1	1	2	--->	M3	1	3	1.492840E+03	1.046020E+10	6.885029E-06	
942	L1	1	2	--->	M2	1	4	1.489957E+03	1.816060E+11	1.195352E-04	
943	L1	1	2	--->	M2	1	5	1.489215E+03	3.789590E+12	2.494353E-03	
944	L1	1	2	--->	M2	1	6	1.485704E+03	3.301450E+10	2.173054E-05	
945	L1	1	2	--->	M3	3	1	1.495357E+03	1.635820E+12	1.076716E-03	
946	L1	1	2	--->	M3	3	2	1.495251E+03	5.450020E+12	3.587268E-03	
947	L1	1	2	--->	M3	3	3	1.495016E+03	2.757220E+11	1.814835E-04	
948	L1	1	2	--->	M3	3	4	1.493400E+03	6.920300E+11	4.555024E-04	
949	L1	1	2	--->	M3	3	5	1.491603E+03	2.202490E+10	1.449705E-05	
950	L1	1	2	--->	M2	3	6	1.489852E+03	1.368650E+12	9.008618E-04	
951	L1	1	2	--->	M2	3	7	1.489162E+03	1.205090E+12	7.932046E-04	
952	L1	1	2	--->	M2	3	8	1.487130E+03	8.618870E+11	5.673043E-04	
953	L1	1	2	--->	M3	5	1	1.495892E+03	6.677790E+05	4.395401E-10	
954	L1	1	2	--->	M3	5	2	1.495725E+03	5.599870E+06	3.685901E-09	
955	L1	1	2	--->	M3	5	3	1.493919E+03	1.808940E+05	1.190666E-10	
956	L1	1	2	--->	M2	5	4	1.489606E+03	4.229170E+04	2.783690E-11	
957	L1	1	2	--->	M2	5	5	1.488238E+03	5.839960E+03	3.843931E-12	
958	L1	1	2	--->	M3	7	1	0.000000E+00	0.000000E+00	0.000000E+00	
959	L1	1	2	--->	M3	7	2	0.000000E+00	0.000000E+00	0.000000E+00	
960	L1	1	2	--->	M5	1	1	1.606600E+03	7.049680E+01	4.640184E-14	
961	L1	1	2	--->	M4	1	2	1.605681E+03	3.860050E+02	2.540731E-13	
962	L1	1	2	--->	M4	1	3	1.604849E+03	4.871010E+03	3.206157E-12	
963	L1	1	2	--->	M5	1	4	1.603474E+03	1.235080E+01	8.129444E-15	
964	L1	1	2	--->	M4	1	5	1.602623E+03	2.863120E+00	1.884540E-15	
965	L1	1	2	--->	M5	3	1	1.606427E+03	5.125030E+09	3.373356E-06	
