# Atomic	number	Z=	34	Date:31-10-2019							
											
# Record	Shelli	2Ji	Eigi	--->	Shellf	2Jf	Eigf	Energy(eV)	Rate(1/s)	Width(eV)	Peso
63	K	1	1	--->	M4	1	3	1.260127E+04	2.899890E+05	1.908742E-10	6.666667E-02
64	K	1	1	--->	M5	1	4	1.259989E+04	7.361090E+02	4.845157E-13	6.666667E-02
65	K	1	1	--->	M4	1	5	1.259904E+04	1.704680E+02	1.122041E-13	6.666667E-02
66	K	1	1	--->	M5	3	1	1.260285E+04	1.420330E+10	9.348782E-06	6.666667E-02
67	K	1	1	--->	M4	3	2	1.260202E+04	1.070610E+10	7.046883E-06	6.666667E-02
68	K	1	1	--->	M4	3	3	1.260198E+04	2.220810E+11	1.461764E-04	6.666667E-02
69	K	1	1	--->	M4	3	4	1.260154E+04	8.778910E+09	5.778383E-06	6.666667E-02
70	K	1	1	--->	M4	3	5	1.260095E+04	2.005170E+10	1.319827E-05	6.666667E-02
71	K	1	1	--->	M5	3	6	1.260053E+04	2.460440E+09	1.619491E-06	6.666667E-02
72	K	1	1	--->	M4	3	7	1.259971E+04	1.274440E+06	8.388516E-10	6.666667E-02
73	K	1	1	--->	M4	3	8	1.259747E+04	1.478680E+07	9.732848E-09	6.666667E-02
74	K	1	1	--->	M5	5	1	1.260269E+04	1.057150E+11	6.958288E-05	6.666667E-02
75	K	1	1	--->	M5	5	2	1.260233E+04	4.849910E+10	3.192269E-05	6.666667E-02
76	K	1	1	--->	M5	5	3	1.260201E+04	2.301460E+11	1.514848E-04	6.666667E-02
77	K	1	1	--->	M4	5	4	1.260166E+04	7.813240E+06	5.142768E-09	6.666667E-02
78	K	1	1	--->	M5	5	5	1.260121E+04	3.622250E+09	2.384208E-06	6.666667E-02
79	K	1	1	--->	M4	5	6	1.260085E+04	2.133120E+10	1.404045E-05	6.666667E-02
80	K	1	1	--->	M4	5	7	1.260026E+04	8.153470E+09	5.366711E-06	6.666667E-02
81	K	1	1	--->	M5	5	8	1.259824E+04	1.258770E+08	8.285374E-08	6.666667E-02
82	K	1	1	--->	M5	7	1	1.260271E+04	6.640870E+06	4.371100E-09	6.666667E-02
83	K	1	1	--->	M5	7	2	1.260233E+04	1.018900E+07	6.706521E-09	6.666667E-02
84	K	1	1	--->	M4	7	3	1.260180E+04	2.727500E+06	1.795273E-09	6.666667E-02
85	K	1	1	--->	M5	7	4	1.260101E+04	6.690720E+05	4.403912E-10	6.666667E-02
86	K	1	1	--->	M4	7	5	1.259987E+04	2.465890E+01	1.623078E-14	6.666667E-02
87	K	1	1	--->	N1	1	1	1.264469E+04	1.242460E+07	8.178020E-09	6.666667E-02
88	K	1	1	--->	N1	1	2	1.263844E+04	1.028050E+06	6.766748E-10	6.666667E-02
89	K	1	1	--->	N1	1	3	1.263636E+04	2.029160E+07	1.335617E-08	6.666667E-02
90	K	1	1	--->	N1	3	1	1.264478E+04	2.709520E+07	1.783438E-08	6.666667E-02
91	K	1	1	--->	N1	3	2	1.264065E+04	2.346150E+05	1.544264E-10	6.666667E-02
92	K	1	1	--->	N1	3	3	1.263665E+04	5.990020E+06	3.942703E-09	6.666667E-02
93	K	1	1	--->	N1	5	1	1.264500E+04	5.769270E+07	3.797402E-08	6.666667E-02
94	K	1	1	--->	N1	5	2	1.264058E+04	9.459700E+05	6.226487E-10	6.666667E-02
95	K	1	1	--->	N2	1	1	1.265236E+04	2.866450E+10	1.886732E-05	6.666667E-02
96	K	1	1	--->	N2	3	1	1.265601E+04	7.270640E+12	4.785622E-03	6.666667E-02
97	K	1	1	--->	N2	3	2	1.265385E+04	3.742020E+11	2.463042E-04	6.666667E-02
98	K	1	1	--->	N2	3	3	1.265226E+04	2.888370E+11	1.901160E-04	6.666667E-02
99	K	1	1	--->	N2	5	1	1.265379E+04	1.609630E+08	1.059478E-07	6.666667E-02
100	K	1	2	--->	K	1	1	3.120400E-01	2.338410E-02	1.539169E-17	6.666667E-02
101	K	1	2	--->	K	3	1	5.260800E-01	1.976620E-01	1.301035E-16	6.666667E-02
