#	Atomic	number	Z=	34	Date:31-10-2019											
																
#	Number	Shelli	2Ji	Eigi	--->	Shellf	2Jf	Eigf	Energy(eV)	BranchingRatio	LevelRadYield	Intensity(eV)	Weight(%)	RadWidth(eV)	AugWidth(eV)	TotWidth(eV)
	46	K1K1	0	1	--->	K1M4	2	8	13067.98	5.01044E-10	0.5980881	2.61071E-07	6.7	3.856058	2.59125	6.447309
	47	K1K1	0	1	--->	K1M4	2	11	13066.58	6.29682E-12	0.5980881	3.28063E-09	6.7	3.628744	2.438496	6.067241
	48	K1K1	0	1	--->	K1M4	2	12	13065.84	7.22699E-16	0.5980881	3.76503E-13	6.7	3.836052	2.577806	6.413858
	49	K1K1	0	1	--->	K1M4	2	13	13063.99	2.34136E-12	0.5980881	1.2196E-09	6.7	4.134544	2.778391	6.912935
	50	K1K1	0	1	--->	K1M5	2	1	13070.6	3.25097E-12	0.5980881	1.69427E-09	6.7	4.04992	2.721524	6.771444
	51	K1K1	0	1	--->	K1M5	2	2	13070.1	2.50584E-11	0.5980881	1.30589E-08	6.7	4.12101	2.769296	6.890306
	52	K1K1	0	1	--->	K1M5	2	4	13069.32	5.84595E-10	0.5980881	3.04637E-07	6.7	3.612562	2.427622	6.040184
	53	K1K1	0	1	--->	K1M5	2	9	13067.52	5.3153E-10	0.5980881	2.76946E-07	6.7	3.61596	2.429905	6.045865
	54	K1K1	0	1	--->	K1M5	2	10	13066.87	3.0189E-15	0.5980881	1.57288E-12	6.7	4.072558	2.736737	6.809294
	55	K1K1	0	1	--->	K1N1	2	1	13126.59	2.50164E-08	0.5980881	1.30934E-05	6.7	4.425655	2.974016	7.399671
	56	K1K1	0	1	--->	K1N1	2	2	13125.94	7.79107E-09	0.5980881	4.07757E-06	6.7	4.412097	2.964905	7.377002
	57	K1K1	0	1	--->	K1N1	2	3	13121.88	8.3917E-17	0.5980881	4.39056E-14	6.7	4.414372	2.966434	7.380806
	58	K1K1	0	1	--->	K1N1	2	4	13119.36	1.62995E-09	0.5980881	8.52633E-07	6.7	4.395758	2.953925	7.349683
	59	K1K1	0	1	--->	K1N1	2	5	13117.14	1.81145E-10	0.5980881	9.47412E-08	6.7	4.410795	2.96403	7.374826
	60	K1K1	0	1	--->	K1N1	2	6	13116.77	1.46173E-08	0.5980881	7.64484E-06	6.7	4.390772	2.950575	7.341347
