+0					+1					+2					+3					+4					+5					+6					+7					+8					+9					+10					+11					+12					+13					+14					+15					+16					+17					+18					+19					+20					+21					+22					+23					+24					+25					+26
8.900	0.000E+000	8.900	0.000E+000	8.900	0.000E+000	8.900	0.000E+000	8.900	0.000E+000	8.900	0.000E+000	8.900	0.000E+000	8.900	0.000E+000	8.900	0.000E+000	8.900	0.000E+000	8.900	0.000E+000	8.900	0.000E+000	8.900	0.000E+000	8.900	0.000E+000	8.900	0.000E+000	8.900	0.000E+000	8.900	0.000E+000	8.900	0.000E+000	8.900	0.000E+000	8.900	0.000E+000	8.900	3.496E-014	8.900	2.694E-011	8.900	1.720E-008	8.900	6.539E-006	8.900	1.486E-003	8.900	6.305E-002	8.900	9.355E-001
8.890	0.000E+000	8.890	0.000E+000	8.890	0.000E+000	8.890	0.000E+000	8.890	0.000E+000	8.890	0.000E+000	8.890	0.000E+000	8.890	0.000E+000	8.890	0.000E+000	8.890	0.000E+000	8.890	0.000E+000	8.890	0.000E+000	8.890	0.000E+000	8.890	0.000E+000	8.890	0.000E+000	8.890	0.000E+000	8.890	0.000E+000	8.890	0.000E+000	8.890	0.000E+000	8.890	0.000E+000	8.890	4.100E-014	8.890	3.075E-011	8.890	1.911E-008	8.890	7.077E-006	8.890	1.567E-003	8.890	6.464E-002	8.890	9.338E-001
8.880	0.000E+000	8.880	0.000E+000	8.880	0.000E+000	8.880	0.000E+000	8.880	0.000E+000	8.880	0.000E+000	8.880	0.000E+000	8.880	0.000E+000	8.880	0.000E+000	8.880	0.000E+000	8.880	0.000E+000	8.880	0.000E+000	8.880	0.000E+000	8.880	0.000E+000	8.880	0.000E+000	8.880	0.000E+000	8.880	0.000E+000	8.880	0.000E+000	8.880	0.000E+000	8.880	0.000E+000	8.880	4.813E-014	8.880	3.512E-011	8.880	2.124E-008	8.880	7.660E-006	8.880	1.653E-003	8.880	6.628E-002	8.880	9.321E-001
8.870	0.000E+000	8.870	0.000E+000	8.870	0.000E+000	8.870	0.000E+000	8.870	0.000E+000	8.870	0.000E+000	8.870	0.000E+000	8.870	0.000E+000	8.870	0.000E+000	8.870	0.000E+000	8.870	0.000E+000	8.870	0.000E+000	8.870	0.000E+000	8.870	0.000E+000	8.870	0.000E+000	8.870	0.000E+000	8.870	0.000E+000	8.870	0.000E+000	8.870	0.000E+000	8.870	0.000E+000	8.870	5.646E-014	8.870	4.011E-011	8.870	2.362E-008	8.870	8.293E-006	8.870	1.744E-003	8.870	6.796E-002	8.870	9.303E-001
8.860	0.000E+000	8.860	0.000E+000	8.860	0.000E+000	8.860	0.000E+000	8.860	0.000E+000	8.860	0.000E+000	8.860	0.000E+000	8.860	0.000E+000	8.860	0.000E+000	8.860	0.000E+000	8.860	0.000E+000	8.860	0.000E+000	8.860	0.000E+000	8.860	0.000E+000	8.860	0.000E+000	8.860	0.000E+000	8.860	0.000E+000	8.860	0.000E+000	8.860	0.000E+000	8.860	0.000E+000	8.860	6.628E-014	8.860	4.582E-011	8.860	2.627E-008	8.860	8.981E-006	8.860	1.840E-003	8.860	6.969E-002	8.860	9.285E-001
8.850	0.000E+000	8.850	0.000E+000	8.850	0.000E+000	8.850	0.000E+000	8.850	0.000E+000	8.850	0.000E+000	8.850	0.000E+000	8.850	0.000E+000	8.850	0.000E+000	8.850	0.000E+000	8.850	0.000E+000	8.850	0.000E+000	8.850	0.000E+000	8.850	0.000E+000	8.850	0.000E+000	8.850	0.000E+000	8.850	0.000E+000	8.850	0.000E+000	8.850	0.000E+000	8.850	0.000E+000	8.850	7.780E-014	8.850	5.236E-011	8.850	2.922E-008	8.850	9.727E-006	8.850	1.942E-003	8.850	7.147E-002	8.850	9.266E-001
8.840	0.000E+000	8.840	0.000E+000	8.840	0.000E+000	8.840	0.000E+000	8.840	0.000E+000	8.840	0.000E+000	8.840	0.000E+000	8.840	0.000E+000	8.840	0.000E+000	8.840	0.000E+000	8.840	0.000E+000	8.840	0.000E+000	8.840	0.000E+000	8.840	0.000E+000	8.840	0.000E+000	8.840	0.000E+000	8.840	0.000E+000	8.840	0.000E+000	8.840	0.000E+000	8.840	0.000E+000	8.840	9.143E-014	8.840	5.985E-011	8.840	3.252E-008	8.840	1.054E-005	8.840	2.050E-003	8.840	7.330E-002	8.840	9.246E-001
8.830	0.000E+000	8.830	0.000E+000	8.830	0.000E+000	8.830	0.000E+000	8.830	0.000E+000	8.830	0.000E+000	8.830	0.000E+000	8.830	0.000E+000	8.830	0.000E+000	8.830	0.000E+000	8.830	0.000E+000	8.830	0.000E+000	8.830	0.000E+000	8.830	0.000E+000	8.830	0.000E+000	8.830	0.000E+000	8.830	0.000E+000	8.830	0.000E+000	8.830	0.000E+000	8.830	0.000E+000	8.830	1.074E-013	8.830	6.843E-011	8.830	3.619E-008	8.830	1.142E-005	8.830	2.164E-003	8.830	7.517E-002	8.830	9.227E-001
8.820	0.000E+000	8.820	0.000E+000	8.820	0.000E+000	8.820	0.000E+000	8.820	0.000E+000	8.820	0.000E+000	8.820	0.000E+000	8.820	0.000E+000	8.820	0.000E+000	8.820	0.000E+000	8.820	0.000E+000	8.820	0.000E+000	8.820	0.000E+000	8.820	0.000E+000	8.820	0.000E+000	8.820	0.000E+000	8.820	0.000E+000	8.820	0.000E+000	8.820	0.000E+000	8.820	0.000E+000	8.820	1.263E-013	8.820	7.826E-011	8.820	4.028E-008	8.820	1.237E-005	8.820	2.285E-003	8.820	7.710E-002	8.820	9.206E-001
8.810	0.000E+000	8.810	0.000E+000	8.810	0.000E+000	8.810	0.000E+000	8.810	0.000E+000	8.810	0.000E+000	8.810	0.000E+000	8.810	0.000E+000	8.810	0.000E+000	8.810	0.000E+000	8.810	0.000E+000	8.810	0.000E+000	8.810	0.000E+000	8.810	0.000E+000	8.810	0.000E+000	8.810	0.000E+000	8.810	0.000E+000	8.810	0.000E+000	8.810	0.000E+000	8.810	0.000E+000	8.810	1.484E-013	8.810	8.953E-011	8.810	4.486E-008	8.810	1.341E-005	8.810	2.413E-003	8.810	7.908E-002	8.810	9.185E-001
