# Atomic number Z= 29  Date:21-08-2021

# Record	Shelli	  2Ji		  Eigi --->		Shellf	  2Jf			Eigf		   Energy (eV)			 Rate(1/s)			 Width(eV)
	  43	   K1	    0	[1S0]#1LS1 ---> 	 L2M2	    1	[4P1/2]#1LS1	     7.9217674E+03	       0.000661881	            3.5269
	  44	   K1	    0	[1S0]#1LS1 ---> 	 L2M3	    3	[4P3/2]#1LS1	     7.9226892E+03	       1.68603e-05	           2.37125
	  45	   K1	    0	[1S0]#1LS1 ---> 	 L2M2	    3	[2D3/2]#2LS1	     7.9231856E+03	       7.63753e-05	           2.28527
	  46	   K1	    0	[1S0]#1LS1 ---> 	 L2M2	    3	[4D3/2]#1LS1	     7.9231856E+03	       7.63753e-05	           2.28527
	  47	   K1	    0	[1S0]#1LS1 ---> 	 L2M2	    1	[2S1/2]#2LS1	     7.9233362E+03	       2.03728e-06	           2.63727
	  48	   K1	    0	[1S0]#1LS1 ---> 	 L2M2	    1	[4D1/2]#1LS1	     7.9233559E+03	        6.3206e-07	           2.64759
	  49	   K1	    0	[1S0]#1LS1 ---> 	 L3M3	    3	[2D3/2]#1LS1	     7.9396329E+03	         0.0031602	           1.77037
	  50	   K1	    0	[1S0]#1LS1 ---> 	 L3M2	    1	[2S1/2]#1LS1	     7.9399888E+03	       2.18274e-05	           1.79899
	  51	   K1	    0	[1S0]#1LS1 ---> 	 L3M2	    1	[2P1/2]#2LS1	     7.9399888E+03	       2.18274e-05	           1.79899
	  52	   K1	    0	[1S0]#1LS1 ---> 	 L3M2	    3	[4S3/2]#1LS1	     7.9402289E+03	       7.66021e-05	           2.23838
	  53	   K1	    0	[1S0]#1LS1 ---> 	 L3M2	    3	[2P3/2]#2LS1	     7.9407336E+03	       0.000188386	             2.631
	  54	   K1	    0	[1S0]#1LS1 ---> 	 L3M2	    5	[4D5/2]#1LS1	     7.9409330E+03	       7.26228e-05	           2.89007
	  55	   K1	    0	[1S0]#1LS1 ---> 	 L3M2	    5	[4P5/2]#1LS1	     7.9409335E+03	       8.44157e-05	           2.89585
	  56	   K1	    0	[1S0]#1LS1 ---> 	 L3M2	    5	[2D5/2]#2LS1	     7.9409335E+03	       8.44157e-05	           2.89585
	  57	   K1	    0	[1S0]#1LS1 ---> 	 L3M3	    5	[2D5/2]#1LS1	     7.9455553E+03	       4.27953e-05	           2.20628
	  58	   K1	    0	[1S0]#1LS1 ---> 	 L3M3	    7	[4D7/2]#1LS1	     7.9459555E+03	        7.9392e-09	            2.2526
	  59	   K1	    0	[1S0]#1LS1 ---> 	 L3M3	    1	[2P1/2]#1LS1	     7.9459949E+03	       2.34209e-06	            2.1721
	  60	   K1	    0	[1S0]#1LS1 ---> 	 L3M3	    3	[2P3/2]#1LS1	     7.9460559E+03	       1.51814e-06	           1.93159
	  61	   K1	    0	[1S0]#1LS1 ---> 	 L2M4	    1	[4D1/2]#1LS1	     7.9994595E+03	       3.35786e-06	           2.30963
	  62	   K1	    0	[1S0]#1LS1 ---> 	 L2M5	    5	[4P5/2]#1LS1	     8.0011536E+03	       4.71611e-06	           2.19865
	  63	   K1	    0	[1S0]#1LS1 ---> 	 L2M4	    5	[2F5/2]#2LS1	     8.0023545E+03	       0.000115956	            1.7972
	  64	   K1	    0	[1S0]#1LS1 ---> 	 L2M4	    5	[4F5/2]#1LS1	     8.0023545E+03	       0.000115956	            1.7972
	  65	   K1	    0	[1S0]#1LS1 ---> 	 L2M4	    3	[2P3/2]#2LS1	     8.0025593E+03	       1.94349e-07	           1.79094
	  66	   K1	    0	[1S0]#1LS1 ---> 	 L2M4	    3	[4F3/2]#1LS1	     8.0025593E+03	       1.94349e-07	           1.79094
	  67	   K1	    0	[1S0]#1LS1 ---> 	 L2N1	    1	[2P1/2]#1LS1	     8.0107521E+03	       4.77951e-07	           2.15592
	  68	   K1	    0	[1S0]#1LS1 ---> 	 L3M5	    1	[2P1/2]#2LS1	     8.0305805E+03	         2.012e-08	           2.25165
	  69	   K1	    0	[1S0]#1LS1 ---> 	 L3M5	    3	[2P3/2]#1LS1	     8.0307068E+03	        3.6416e-06	           2.29885
	  70	   K1	    0	[1S0]#1LS1 ---> 	 L3M5	    5	[2F5/2]#1LS1	     8.0310196E+03	       0.000325999	           2.43823
	  71	   K1	    0	[1S0]#1LS1 ---> 	 L3M4	    1	[2P1/2]#1LS1	     8.0318077E+03	       4.90032e-06	           2.14119
	  72	   K1	    0	[1S0]#1LS1 ---> 	 L3M4	    3	[4P3/2]#1LS1	     8.0321591E+03	       4.17318e-06	           2.21153
	  73	   K1	    0	[1S0]#1LS1 ---> 	 L3M4	    1	[4P1/2]#1LS1	     8.0322750E+03	       1.35837e-06	           2.20952
	  74	   K1	    0	[1S0]#1LS1 ---> 	 L3M4	    3	[2D3/2]#2LS1	     8.0327385E+03	       2.79956e-06	           2.25608
	  75	   K1	    0	[1S0]#1LS1 ---> 	 L3M4	    3	[4D3/2]#1LS1	     8.0327385E+03	       2.79956e-06	           2.25608
	  76	   K1	    0	[1S0]#1LS1 ---> 	 L3M4	    5	[4D5/2]#1LS1	     8.0328689E+03	       3.16662e-05	           2.27041
	  77	   K1	    0	[1S0]#1LS1 ---> 	 L3M4	    5	[2D5/2]#2LS1	     8.0336225E+03	       7.79477e-05	            2.0952
	  78	   K1	    0	[1S0]#1LS1 ---> 	 L3M5	    7	[4D7/2]#1LS1	     8.0338453E+03	       5.34316e-05	           2.12607
	  79	   K1	    0	[1S0]#1LS1 ---> 	 L3M5	    7	[2F7/2]#2LS1	     8.0338453E+03	       5.34316e-05	           2.12607
	  80	   K1	    0	[1S0]#1LS1 ---> 	 L3M5	    7	[2F7/2]#1LS1	     8.0347007E+03	       0.000204911	           1.71087
	  81	   K1	    0	[1S0]#1LS1 ---> 	 L3M5	    7	[4F7/2]#1LS1	     8.0347007E+03	       0.000204911	           1.71087
	  82	   K1	    0	[1S0]#1LS1 ---> 	 L3M5	    5	[2D5/2]#1LS1	     8.0347531E+03	       1.34311e-05	           1.93355
	  83	   K1	    0	[1S0]#1LS1 ---> 	 L3M5	    3	[2D3/2]#1LS1	     8.0347964E+03	       5.33309e-07	           1.93548
	  84	   K1	    0	[1S0]#1LS1 ---> 	 L3N1	    3	[2P3/2]#1LS1	     8.0378171E+03	       1.53302e-07	           2.15171
	  85	   K1	    0	[1S0]#1LS1 ---> 	 M1M1	    1	[2S1/2]#1LS1	     8.7010620E+03	       0.000187984	           4.45953
	  86	   K1	    0	[1S0]#1LS1 ---> 	 M1M3	    3	[2P3/2]#2LS1	     8.7418231E+03	       0.000230632	           16.4334
	  87	   K1	    0	[1S0]#1LS1 ---> 	 M1M3	    1	[2P1/2]#2LS1	     8.7419830E+03	        0.00012824	           15.9274
