# Atomic number Z= 29  Date:21-08-2021

# Record	Shelli	  2Ji		  Eigi --->		Shellf	  2Jf			Eigf		   Energy (eV)			 Rate(1/s)			 Width(eV)
	 188	   K1	    2	[3S1]#1LS1 ---> 	 L1N1	    1	[2S1/2]#1LS1	     7.8632927E+03	       0.000278193	           6.98469
	 189	   K1	    2	[3S1]#1LS1 ---> 	 L2M1	    3	[4P3/2]#1LS1	     7.8734433E+03	        0.00320241	           2.20948
	 190	   K1	    2	[3S1]#1LS1 ---> 	 L2M1	    1	[2P1/2]#2LS1	     7.8743916E+03	       0.000542651	           2.18961
	 191	   K1	    2	[3S1]#1LS1 ---> 	 L2M1	    1	[4P1/2]#1LS1	     7.8743916E+03	       0.000542651	           2.18961
	 192	   K1	    2	[3S1]#1LS1 ---> 	 L3M1	    3	[2P3/2]#2LS1	     7.8926888E+03	        0.00311491	            2.2491
	 193	   K1	    2	[3S1]#1LS1 ---> 	 L3M1	    1	[2P1/2]#1LS1	     7.8927556E+03	        0.00224098	           2.20396
	 194	   K1	    2	[3S1]#1LS1 ---> 	 L3M1	    3	[2P3/2]#1LS1	     7.8943985E+03	       0.000368031	           2.14664
	 195	   K1	    2	[3S1]#1LS1 ---> 	 L3M1	    5	[4P5/2]#1LS1	     7.8945567E+03	        0.00100538	           2.15475
	 196	   K1	    2	[3S1]#1LS1 ---> 	 L2M2	    1	[4P1/2]#1LS1	     7.9216760E+03	        0.00199101	           3.52614
	 197	   K1	    2	[3S1]#1LS1 ---> 	 L2M3	    3	[4P3/2]#1LS1	     7.9225978E+03	       9.43105e-05	           2.37049
	 198	   K1	    2	[3S1]#1LS1 ---> 	 L2M2	    3	[2D3/2]#2LS1	     7.9230942E+03	       9.88053e-05	           2.28451
	 199	   K1	    2	[3S1]#1LS1 ---> 	 L2M2	    3	[4D3/2]#1LS1	     7.9230942E+03	       9.88053e-05	           2.28451
	 200	   K1	    2	[3S1]#1LS1 ---> 	 L2M2	    1	[2S1/2]#2LS1	     7.9232448E+03	        9.5649e-06	           2.63651
	 201	   K1	    2	[3S1]#1LS1 ---> 	 L2M2	    1	[4D1/2]#1LS1	     7.9232645E+03	       8.20968e-06	           2.64683
	 202	   K1	    2	[3S1]#1LS1 ---> 	 L3M3	    3	[2D3/2]#1LS1	     7.9395415E+03	         0.0091521	           1.76961
	 203	   K1	    2	[3S1]#1LS1 ---> 	 L3M2	    1	[2S1/2]#1LS1	     7.9398974E+03	       6.94307e-06	           1.79823
	 204	   K1	    2	[3S1]#1LS1 ---> 	 L3M2	    1	[2P1/2]#2LS1	     7.9398974E+03	       6.94307e-06	           1.79823
	 205	   K1	    2	[3S1]#1LS1 ---> 	 L3M2	    3	[4S3/2]#1LS1	     7.9401375E+03	       9.41874e-05	           2.23762
	 206	   K1	    2	[3S1]#1LS1 ---> 	 L3M2	    3	[2P3/2]#2LS1	     7.9406422E+03	       0.000361347	           2.63024
	 207	   K1	    2	[3S1]#1LS1 ---> 	 L3M2	    5	[4D5/2]#1LS1	     7.9408416E+03	       0.000487561	           2.88931
	 208	   K1	    2	[3S1]#1LS1 ---> 	 L3M2	    5	[4P5/2]#1LS1	     7.9408421E+03	       0.000538614	           2.89509
	 209	   K1	    2	[3S1]#1LS1 ---> 	 L3M2	    5	[2D5/2]#2LS1	     7.9408421E+03	       0.000538614	           2.89509
	 210	   K1	    2	[3S1]#1LS1 ---> 	 L3M3	    5	[2D5/2]#1LS1	     7.9454639E+03	       1.00771e-05	           2.20552
	 211	   K1	    2	[3S1]#1LS1 ---> 	 L3M3	    7	[4D7/2]#1LS1	     7.9458641E+03	       4.87395e-05	           2.25184
	 212	   K1	    2	[3S1]#1LS1 ---> 	 L3M3	    1	[2P1/2]#1LS1	     7.9459035E+03	       2.09156e-06	           2.17134
	 213	   K1	    2	[3S1]#1LS1 ---> 	 L3M3	    3	[2P3/2]#1LS1	     7.9459645E+03	       7.81955e-06	           1.93083
	 214	   K1	    2	[3S1]#1LS1 ---> 	 L2M4	    1	[4D1/2]#1LS1	     7.9993681E+03	        1.7672e-06	           2.30887
	 215	   K1	    2	[3S1]#1LS1 ---> 	 L2M5	    5	[4P5/2]#1LS1	     8.0010622E+03	       1.89952e-05	           2.19789
	 216	   K1	    2	[3S1]#1LS1 ---> 	 L2M4	    5	[2F5/2]#2LS1	     8.0022631E+03	       0.000129456	           1.79644
	 217	   K1	    2	[3S1]#1LS1 ---> 	 L2M4	    5	[4F5/2]#1LS1	     8.0022631E+03	       0.000129456	           1.79644
	 218	   K1	    2	[3S1]#1LS1 ---> 	 L2M4	    3	[2P3/2]#2LS1	     8.0024679E+03	        0.00016066	           1.79018
	 219	   K1	    2	[3S1]#1LS1 ---> 	 L2M4	    3	[4F3/2]#1LS1	     8.0024679E+03	        0.00016066	           1.79018
	 220	   K1	    2	[3S1]#1LS1 ---> 	 L2N1	    1	[2P1/2]#1LS1	     8.0106607E+03	       3.12318e-05	           2.15516
	 221	   K1	    2	[3S1]#1LS1 ---> 	 L3M5	    1	[2P1/2]#2LS1	     8.0304891E+03	       6.92952e-06	           2.25089
	 222	   K1	    2	[3S1]#1LS1 ---> 	 L3M5	    3	[2P3/2]#1LS1	     8.0306154E+03	       8.44381e-06	           2.29809
	 223	   K1	    2	[3S1]#1LS1 ---> 	 L3M5	    5	[2F5/2]#1LS1	     8.0309283E+03	        0.00051793	           2.43747
	 224	   K1	    2	[3S1]#1LS1 ---> 	 L3M4	    1	[2P1/2]#1LS1	     8.0317163E+03	       4.19319e-06	           2.14043
	 225	   K1	    2	[3S1]#1LS1 ---> 	 L3M4	    3	[4P3/2]#1LS1	     8.0320677E+03	        1.0504e-05	           2.21077
	 226	   K1	    2	[3S1]#1LS1 ---> 	 L3M4	    1	[4P1/2]#1LS1	     8.0321836E+03	       5.47375e-06	           2.20876
	 227	   K1	    2	[3S1]#1LS1 ---> 	 L3M4	    3	[2D3/2]#2LS1	     8.0326471E+03	       1.62996e-05	           2.25532
	 228	   K1	    2	[3S1]#1LS1 ---> 	 L3M4	    3	[4D3/2]#1LS1	     8.0326471E+03	       1.62996e-05	           2.25532
	 229	   K1	    2	[3S1]#1LS1 ---> 	 L3M4	    5	[4D5/2]#1LS1	     8.0327775E+03	       1.34848e-05	           2.26965
	 230	   K1	    2	[3S1]#1LS1 ---> 	 L3M4	    5	[2D5/2]#2LS1	     8.0335311E+03	       7.69612e-05	           2.09444
	 231	   K1	    2	[3S1]#1LS1 ---> 	 L3M5	    7	[4D7/2]#1LS1	     8.0337539E+03	       0.000132486	           2.12531
	 232	   K1	    2	[3S1]#1LS1 ---> 	 L3M5	    7	[2F7/2]#2LS1	     8.0337539E+03	       0.000132486	           2.12531
	 233	   K1	    2	[3S1]#1LS1 ---> 	 L3M5	    7	[2F7/2]#1LS1	     8.0346093E+03	       0.000181235	           1.71011
	 234	   K1	    2	[3S1]#1LS1 ---> 	 L3M5	    7	[4F7/2]#1LS1	     8.0346093E+03	       0.000181235	           1.71011
	 235	   K1	    2	[3S1]#1LS1 ---> 	 L3M5	    5	[2D5/2]#1LS1	     8.0346617E+03	       4.53929e-05	           1.93279
	 236	   K1	    2	[3S1]#1LS1 ---> 	 L3M5	    3	[2D3/2]#1LS1	     8.0347050E+03	       4.07062e-05	           1.93472
	 237	   K1	    2	[3S1]#1LS1 ---> 	 L3N1	    3	[2P3/2]#1LS1	     8.0377257E+03	       7.67203e-05	           2.15095
	 238	   K1	    2	[3S1]#1LS1 ---> 	 M1M1	    1	[2S1/2]#1LS1	     8.7009706E+03	       0.000562793	           4.45877
	 239	   K1	    2	[3S1]#1LS1 ---> 	 M1M3	    3	[2P3/2]#2LS1	     8.7417317E+03	       0.000683664	           16.4327
	 240	   K1	    2	[3S1]#1LS1 ---> 	 M1M3	    1	[2P1/2]#2LS1	     8.7418916E+03	        0.00032857	           15.9267
	 241	   K1	    2	[3S1]#1LS1 ---> 	 M1M2	    1	[2P1/2]#1LS1	     8.7554199E+03	       4.81165e-05	           12.7543
	 242	   K1	    2	[3S1]#1LS1 ---> 	 M1M2	    1	[4P1/2]#1LS1	     8.7563158E+03	       5.62978e-05	           10.6943
	 243	   K1	    2	[3S1]#1LS1 ---> 	 M1M2	    3	[4P3/2]#1LS1	     8.7565039E+03	       8.80183e-05	           11.4404
	 244	   K1	    2	[3S1]#1LS1 ---> 	 M1M3	    3	[2P3/2]#1LS1	     8.7578049E+03	       4.55541e-05	           12.0974
	 245	   K1	    2	[3S1]#1LS1 ---> 	 M1M3	    5	[4P5/2]#1LS1	     8.7582379E+03	       0.000137215	           8.75744
	 246	   K1	    2	[3S1]#1LS1 ---> 	 M2M2	    1	[2S1/2]#1LS1	     8.7904237E+03	       0.000238251	           1.64876
	 247	   K1	    2	[3S1]#1LS1 ---> 	 M2M3	    3	[2D3/2]#1LS1	     8.7967982E+03	       0.000954805	           3.13735
	 248	   K1	    2	[3S1]#1LS1 ---> 	 M2M3	    5	[2D5/2]#1LS1	     8.7968388E+03	        0.00145224	            2.6731
	 249	   K1	    2	[3S1]#1LS1 ---> 	 M2M3	    1	[2P1/2]#1LS1	     8.7997059E+03	       8.81784e-06	           4.48836
	 250	   K1	    2	[3S1]#1LS1 ---> 	 M2M3	    3	[4P3/2]#1LS1	     8.8003558E+03	       6.68196e-06	            7.5603
	 251	   K1	    2	[3S1]#1LS1 ---> 	 M2M3	    1	[4P1/2]#1LS1	     8.8004156E+03	       6.94366e-06	           9.47458
	 252	   K1	    2	[3S1]#1LS1 ---> 	 M3M3	    3	[2P3/2]#1LS1	     8.8019981E+03	       6.14895e-05	           9.57076
	 253	   K1	    2	[3S1]#1LS1 ---> 	 M3M3	    5	[4P5/2]#1LS1	     8.8025774E+03	       6.92285e-05	           10.2928
	 254	   K1	    2	[3S1]#1LS1 ---> 	 M1M5	    5	[2D5/2]#2LS1	     8.8250033E+03	       1.18817e-06	           2.35332
	 255	   K1	    2	[3S1]#1LS1 ---> 	 M1M5	    3	[2D3/2]#2LS1	     8.8250081E+03	       6.90908e-07	           3.08661
	 256	   K1	    2	[3S1]#1LS1 ---> 	 M1M4	    3	[2D3/2]#1LS1	     8.8300116E+03	       2.80803e-06	           2.97402
	 257	   K1	    2	[3S1]#1LS1 ---> 	 M1M5	    5	[2D5/2]#1LS1	     8.8302000E+03	        3.7078e-06	           3.60944
	 258	   K1	    2	[3S1]#1LS1 ---> 	 M1M4	    1	[4D1/2]#1LS1	     8.8305661E+03	       5.60615e-06	           5.02003
	 259	   K1	    2	[3S1]#1LS1 ---> 	 M1M4	    3	[4D3/2]#1LS1	     8.8306273E+03	       1.06765e-05	           4.19567
	 260	   K1	    2	[3S1]#1LS1 ---> 	 M1M5	    5	[4D5/2]#1LS1	     8.8307233E+03	       1.51076e-05	           4.83434
	 261	   K1	    2	[3S1]#1LS1 ---> 	 M1M5	    7	[4D7/2]#1LS1	     8.8308465E+03	       1.93194e-05	           27.6652
	 262	   K1	    2	[3S1]#1LS1 ---> 	 M1N1	    1	[2S1/2]#1LS1	     8.8375125E+03	       3.26617e-05	           3.84162
	 263	   K1	    2	[3S1]#1LS1 ---> 	 M2M5	    5	[2D5/2]#2LS1	     8.8752205E+03	       5.28465e-07	           5.08013
	 264	   K1	    2	[3S1]#1LS1 ---> 	 M2M4	    3	[2P3/2]#2LS1	     8.8755822E+03	       2.65776e-07	           5.02918
	 265	   K1	    2	[3S1]#1LS1 ---> 	 M2M4	    3	[4D3/2]#1LS1	     8.8755822E+03	       2.65776e-07	           5.02918
	 266	   K1	    2	[3S1]#1LS1 ---> 	 M2M4	    1	[2P1/2]#2LS1	     8.8757292E+03	       1.03646e-07	           5.00044
	 267	   K1	    2	[3S1]#1LS1 ---> 	 M2M4	    1	[4D1/2]#1LS1	     8.8757292E+03	       1.03646e-07	           5.00044
	 268	   K1	    2	[3S1]#1LS1 ---> 	 M3M5	    5	[4D5/2]#1LS1	     8.8761572E+03	       8.10622e-07	           5.16726
	 269	   K1	    2	[3S1]#1LS1 ---> 	 M3M5	    5	[2D5/2]#1LS1	     8.8761813E+03	       8.59051e-07	           5.17774
	 270	   K1	    2	[3S1]#1LS1 ---> 	 M3M5	    7	[4D7/2]#1LS1	     8.8767487E+03	       1.71825e-06	           5.16074
	 271	   K1	    2	[3S1]#1LS1 ---> 	 M3M5	    7	[2F7/2]#2LS1	     8.8767487E+03	       1.71825e-06	           5.16074
	 272	   K1	    2	[3S1]#1LS1 ---> 	 M3M4	    3	[2P3/2]#1LS1	     8.8767941E+03	       3.57223e-07	           4.45453
	 273	   K1	    2	[3S1]#1LS1 ---> 	 M3M4	    1	[2P1/2]#1LS1	     8.8771502E+03	        1.9183e-07	           4.09123
	 274	   K1	    2	[3S1]#1LS1 ---> 	 M3M4	    5	[4P5/2]#1LS1	     8.8773713E+03	       1.97517e-06	           4.13277
	 275	   K1	    2	[3S1]#1LS1 ---> 	 M3M4	    5	[2F5/2]#2LS1	     8.8773713E+03	       1.97517e-06	           4.13277
	 276	   K1	    2	[3S1]#1LS1 ---> 	 M3M4	    3	[4P3/2]#1LS1	     8.8777797E+03	       1.51767e-06	           3.82532
	 277	   K1	    2	[3S1]#1LS1 ---> 	 M3M4	    1	[4P1/2]#1LS1	     8.8778996E+03	       8.69087e-07	           3.69288
	 278	   K1	    2	[3S1]#1LS1 ---> 	 M2M4	    5	[2F5/2]#1LS1	     8.8804365E+03	       7.98589e-06	            2.7432
	 279	   K1	    2	[3S1]#1LS1 ---> 	 M2M4	    3	[2D3/2]#2LS1	     8.8807355E+03	       1.00096e-05	           2.68475
	 280	   K1	    2	[3S1]#1LS1 ---> 	 M2M4	    3	[4F3/2]#1LS1	     8.8807355E+03	       1.00096e-05	           2.68475
	 281	   K1	    2	[3S1]#1LS1 ---> 	 M3M4	    7	[2F7/2]#1LS1	     8.8822251E+03	       2.21358e-05	           2.46783
	 282	   K1	    2	[3S1]#1LS1 ---> 	 M3M5	    3	[2D3/2]#1LS1	     8.8824687E+03	       8.52101e-06	           2.67888
	 283	   K1	    2	[3S1]#1LS1 ---> 	 M3M4	    5	[4F5/2]#1LS1	     8.8825090E+03	       1.89685e-05	           2.52199
	 284	   K1	    2	[3S1]#1LS1 ---> 	 M3M5	    7	[4F7/2]#1LS1	     8.8832236E+03	        2.3645e-05	           2.36375
	 285	   K1	    2	[3S1]#1LS1 ---> 	 M3M5	    9	[4F9/2]#1LS1	     8.8836978E+03	       4.23632e-05	           2.27172
	 286	   K1	    2	[3S1]#1LS1 ---> 	 M2N1	    1	[2P1/2]#1LS1	     8.8838149E+03	       3.65418e-06	           4.22344
	 287	   K1	    2	[3S1]#1LS1 ---> 	 M3N1	    3	[2P3/2]#1LS1	     8.8863284E+03	       9.03549e-06	           4.03532
	 288	   K1	    2	[3S1]#1LS1 ---> 	 M5M5	    1	[2S1/2]#1LS1	     8.9471598E+03	       2.35258e-08	           1.35197
	 289	   K1	    2	[3S1]#1LS1 ---> 	 M4M5	    7	[2G7/2]#1LS1	     8.9523849E+03	       4.30147e-06	            1.9446
	 290	   K1	    2	[3S1]#1LS1 ---> 	 M4M5	    9	[2G9/2]#1LS1	     8.9523887E+03	       5.35874e-06	           28.4533
	 291	   K1	    2	[3S1]#1LS1 ---> 	 M4M5	    1	[2P1/2]#1LS1	     8.9525799E+03	       7.21228e-11	           1.35196
	 292	   K1	    2	[3S1]#1LS1 ---> 	 M4M5	    3	[2P3/2]#1LS1	     8.9526706E+03	       7.22054e-10	           1.35197
	 293	   K1	    2	[3S1]#1LS1 ---> 	 M4M4	    1	[4P1/2]#1LS1	     8.9533729E+03	       2.86402e-11	           1.35196
	 294	   K1	    2	[3S1]#1LS1 ---> 	 M4M5	    3	[4P3/2]#1LS1	     8.9534040E+03	       3.34794e-09	           1.35447
	 295	   K1	    2	[3S1]#1LS1 ---> 	 M4M5	    5	[4P5/2]#1LS1	     8.9534142E+03	       2.15135e-08	           1.35423
	 296	   K1	    2	[3S1]#1LS1 ---> 	 M5M5	    3	[2D3/2]#1LS1	     8.9536850E+03	       4.03098e-08	           1.35214
	 297	   K1	    2	[3S1]#1LS1 ---> 	 M5M5	    5	[2D5/2]#1LS1	     8.9537524E+03	       4.33124e-08	            1.3551
	 298	   K1	    2	[3S1]#1LS1 ---> 	 M4M5	    5	[2F5/2]#1LS1	     8.9552726E+03	       5.25625e-10	           1.35214
	 299	   K1	    2	[3S1]#1LS1 ---> 	 M5M5	    7	[2F7/2]#1LS1	     8.9555105E+03	       4.53352e-09	           57.3077
	 300	   K1	    2	[3S1]#1LS1 ---> 	 M4M4	    3	[4F3/2]#1LS1	     8.9560054E+03	       1.36344e-10	           1.35199
	 301	   K1	    2	[3S1]#1LS1 ---> 	 M4M5	    5	[4F5/2]#1LS1	     8.9560955E+03	       8.93634e-10	           1.35258
	 302	   K1	    2	[3S1]#1LS1 ---> 	 M4M5	    7	[4F7/2]#1LS1	     8.9562246E+03	       1.83719e-09	           2664.59
	 303	   K1	    2	[3S1]#1LS1 ---> 	 M5M5	    9	[4F9/2]#1LS1	     8.9563798E+03	       2.93746e-09	           29495.4
	 304	   K1	    2	[3S1]#1LS1 ---> 	 M4N1	    3	[2D3/2]#1LS1	     8.9618988E+03	       1.18619e-07	           1.35196
	 305	   K1	    2	[3S1]#1LS1 ---> 	 M5N1	    5	[2D5/2]#1LS1	     8.9621481E+03	       1.49079e-07	            1.3521
	 306	   K1	    2	[3S1]#1LS1 ---> 	 L3M5	    9	[4F9/2]#1LS1	     4.0403496E+05	       6.63029e-14	           1.35196
	 307	   L1	    0	[1S0]#1LS1 ---> 	 L3M1	    3	[2P3/2]#2LS1	     1.3157450E+01	         0.0089948	            8.3346
	 308	   L1	    0	[1S0]#1LS1 ---> 	 L3M1	    1	[2P1/2]#1LS1	     1.3224200E+01	        0.00721158	           8.28946
	 309	   L1	    0	[1S0]#1LS1 ---> 	 L3M1	    3	[2P3/2]#1LS1	     1.4867160E+01	        0.00171676	           8.23214
	 310	   L1	    0	[1S0]#1LS1 ---> 	 L3M1	    5	[4P5/2]#1LS1	     1.5025340E+01	       3.18736e-11	           8.24025
	 311	   L1	    0	[1S0]#1LS1 ---> 	 L2M2	    1	[4P1/2]#1LS1	     4.2144620E+01	        0.00393514	           9.61164
	 312	   L1	    0	[1S0]#1LS1 ---> 	 L2M3	    3	[4P3/2]#1LS1	     4.3066400E+01	       0.000711971	           8.45599
	 313	   L1	    0	[1S0]#1LS1 ---> 	 L2M2	    3	[2D3/2]#2LS1	     4.3562800E+01	        0.00665888	           8.37002
	 314	   L1	    0	[1S0]#1LS1 ---> 	 L2M2	    3	[4D3/2]#1LS1	     4.3562800E+01	        0.00665888	           8.37002
	 315	   L1	    0	[1S0]#1LS1 ---> 	 L2M2	    1	[2S1/2]#2LS1	     4.3713470E+01	       0.000480909	           8.72201
	 316	   L1	    0	[1S0]#1LS1 ---> 	 L2M2	    1	[4D1/2]#1LS1	     4.3733150E+01	       0.000226934	           8.73233
	 317	   L1	    0	[1S0]#1LS1 ---> 	 L3M3	    3	[2D3/2]#1LS1	     6.0010160E+01	         0.0109814	           7.85511
	 318	   L1	    0	[1S0]#1LS1 ---> 	 L3M2	    1	[2S1/2]#1LS1	     6.0366000E+01	        0.00590491	           7.88373
	 319	   L1	    0	[1S0]#1LS1 ---> 	 L3M2	    1	[2P1/2]#2LS1	     6.0366000E+01	        0.00590491	           7.88373
	 320	   L1	    0	[1S0]#1LS1 ---> 	 L3M2	    3	[4S3/2]#1LS1	     6.0606120E+01	        0.00265873	           8.32312
	 321	   L1	    0	[1S0]#1LS1 ---> 	 L3M2	    3	[2P3/2]#2LS1	     6.1110800E+01	        0.00418162	           8.71574
	 322	   L1	    0	[1S0]#1LS1 ---> 	 L3M2	    5	[4D5/2]#1LS1	     6.1310230E+01	        0.00173959	           8.97481
	 323	   L1	    0	[1S0]#1LS1 ---> 	 L3M2	    5	[4P5/2]#1LS1	     6.1310730E+01	        0.00171929	           8.98059
	 324	   L1	    0	[1S0]#1LS1 ---> 	 L3M2	    5	[2D5/2]#2LS1	     6.1310730E+01	        0.00171929	           8.98059
	 325	   L1	    0	[1S0]#1LS1 ---> 	 L3M3	    5	[2D5/2]#1LS1	     6.5932550E+01	         0.0186265	           8.29102
	 326	   L1	    0	[1S0]#1LS1 ---> 	 L3M3	    7	[4D7/2]#1LS1	     6.6332750E+01	       2.67734e-11	           8.33734
	 327	   L1	    0	[1S0]#1LS1 ---> 	 L3M3	    1	[2P1/2]#1LS1	     6.6372100E+01	        0.00195134	           8.25684
	 328	   L1	    0	[1S0]#1LS1 ---> 	 L3M3	    3	[2P3/2]#1LS1	     6.6433160E+01	       0.000643836	           8.01633
	 329	   L1	    0	[1S0]#1LS1 ---> 	 L2M4	    1	[4D1/2]#1LS1	     1.1983670E+02	        0.00264558	           8.39437
	 330	   L1	    0	[1S0]#1LS1 ---> 	 L2M5	    5	[4P5/2]#1LS1	     1.2153087E+02	       0.000337436	           8.28339
	 331	   L1	    0	[1S0]#1LS1 ---> 	 L2M4	    5	[2F5/2]#2LS1	     1.2273177E+02	         0.0109675	           7.88194
	 332	   L1	    0	[1S0]#1LS1 ---> 	 L2M4	    5	[4F5/2]#1LS1	     1.2273177E+02	         0.0109675	           7.88194
	 333	   L1	    0	[1S0]#1LS1 ---> 	 L2M4	    3	[2P3/2]#2LS1	     1.2293653E+02	       0.000127155	           7.87568
	 334	   L1	    0	[1S0]#1LS1 ---> 	 L2M4	    3	[4F3/2]#1LS1	     1.2293653E+02	       0.000127155	           7.87568
	 335	   L1	    0	[1S0]#1LS1 ---> 	 L2N1	    1	[2P1/2]#1LS1	     1.3112935E+02	       7.19439e-05	           8.24066
	 336	   L1	    0	[1S0]#1LS1 ---> 	 L3M5	    1	[2P1/2]#2LS1	     1.5095774E+02	       4.60875e-06	           8.33639
	 337	   L1	    0	[1S0]#1LS1 ---> 	 L3M5	    3	[2P3/2]#1LS1	     1.5108405E+02	        0.00315713	           8.38359
	 338	   L1	    0	[1S0]#1LS1 ---> 	 L3M5	    5	[2F5/2]#1LS1	     1.5139688E+02	         0.0173773	           8.52297
	 339	   L1	    0	[1S0]#1LS1 ---> 	 L3M4	    1	[2P1/2]#1LS1	     1.5218496E+02	        0.00311184	           8.22593
	 340	   L1	    0	[1S0]#1LS1 ---> 	 L3M4	    3	[4P3/2]#1LS1	     1.5253633E+02	        0.00270128	           8.29627
	 341	   L1	    0	[1S0]#1LS1 ---> 	 L3M4	    1	[4P1/2]#1LS1	     1.5265221E+02	       0.000867016	           8.29426
	 342	   L1	    0	[1S0]#1LS1 ---> 	 L3M4	    3	[2D3/2]#2LS1	     1.5311576E+02	        0.00171017	           8.34082
	 343	   L1	    0	[1S0]#1LS1 ---> 	 L3M4	    3	[4D3/2]#1LS1	     1.5311576E+02	        0.00171017	           8.34082
	 344	   L1	    0	[1S0]#1LS1 ---> 	 L3M4	    5	[4D5/2]#1LS1	     1.5324616E+02	        0.00270221	           8.35515
	 345	   L1	    0	[1S0]#1LS1 ---> 	 L3M4	    5	[2D5/2]#2LS1	     1.5399971E+02	        0.00747847	           8.17994
	 346	   L1	    0	[1S0]#1LS1 ---> 	 L3M5	    7	[4D7/2]#1LS1	     1.5422251E+02	        0.00762046	           8.21081
	 347	   L1	    0	[1S0]#1LS1 ---> 	 L3M5	    7	[2F7/2]#2LS1	     1.5422251E+02	        0.00762046	           8.21081
	 348	   L1	    0	[1S0]#1LS1 ---> 	 L3M5	    7	[2F7/2]#1LS1	     1.5507793E+02	         0.0294125	           7.79561
	 349	   L1	    0	[1S0]#1LS1 ---> 	 L3M5	    7	[4F7/2]#1LS1	     1.5507793E+02	         0.0294125	           7.79561
	 350	   L1	    0	[1S0]#1LS1 ---> 	 L3M5	    5	[2D5/2]#1LS1	     1.5513032E+02	         0.0015533	           8.01829
	 351	   L1	    0	[1S0]#1LS1 ---> 	 L3M5	    3	[2D3/2]#1LS1	     1.5517363E+02	       0.000464047	           8.02022
	 352	   L1	    0	[1S0]#1LS1 ---> 	 L3N1	    3	[2P3/2]#1LS1	     1.5819435E+02	        8.0186e-05	           8.23645
	 353	   L1	    0	[1S0]#1LS1 ---> 	 M1M1	    1	[2S1/2]#1LS1	     8.2143919E+02	        0.00102355	           10.5443
	 354	   L1	    0	[1S0]#1LS1 ---> 	 M1M3	    3	[2P3/2]#2LS1	     8.6220031E+02	        0.00156222	           22.5182
	 355	   L1	    0	[1S0]#1LS1 ---> 	 M1M3	    1	[2P1/2]#2LS1	     8.6236019E+02	       0.000894157	           22.0122
	 356	   L1	    0	[1S0]#1LS1 ---> 	 M1M2	    1	[2P1/2]#1LS1	     8.7588856E+02	       0.000657973	           18.8398
	 357	   L1	    0	[1S0]#1LS1 ---> 	 M1M2	    1	[4P1/2]#1LS1	     8.7678446E+02	       0.000312971	           16.7798
	 358	   L1	    0	[1S0]#1LS1 ---> 	 M1M2	    3	[4P3/2]#1LS1	     8.7697255E+02	       0.000808103	           17.5259
	 359	   L1	    0	[1S0]#1LS1 ---> 	 M1M3	    3	[2P3/2]#1LS1	     8.7827354E+02	        0.00145321	           18.1829
	 360	   L1	    0	[1S0]#1LS1 ---> 	 M1M3	    5	[4P5/2]#1LS1	     8.7870650E+02	       7.11509e-10	           14.8429
	 361	   L1	    0	[1S0]#1LS1 ---> 	 M2M2	    1	[2S1/2]#1LS1	     9.1089232E+02	       4.35281e-05	           7.73426
	 362	   L1	    0	[1S0]#1LS1 ---> 	 M2M3	    3	[2D3/2]#1LS1	     9.1726688E+02	       2.15399e-05	           9.22285
	 363	   L1	    0	[1S0]#1LS1 ---> 	 M2M3	    5	[2D5/2]#1LS1	     9.1730744E+02	       4.05056e-05	            8.7586
	 364	   L1	    0	[1S0]#1LS1 ---> 	 M2M3	    1	[2P1/2]#1LS1	     9.2017448E+02	       2.12027e-06	           10.5739
	 365	   L1	    0	[1S0]#1LS1 ---> 	 M2M3	    3	[4P3/2]#1LS1	     9.2082446E+02	       2.23995e-07	           13.6458
	 366	   L1	    0	[1S0]#1LS1 ---> 	 M2M3	    1	[4P1/2]#1LS1	     9.2088427E+02	       3.25842e-06	           15.5601
	 367	   L1	    0	[1S0]#1LS1 ---> 	 M3M3	    3	[2P3/2]#1LS1	     9.2246676E+02	       1.40971e-06	           15.6563
	 368	   L1	    0	[1S0]#1LS1 ---> 	 M3M3	    5	[4P5/2]#1LS1	     9.2304598E+02	        1.1548e-06	           16.3783
	 369	   L1	    0	[1S0]#1LS1 ---> 	 M1M5	    5	[2D5/2]#2LS1	     9.4547194E+02	        0.00178491	           8.43882
	 370	   L1	    0	[1S0]#1LS1 ---> 	 M1M5	    3	[2D3/2]#2LS1	     9.4547675E+02	         0.0012587	           9.17211
	 371	   L1	    0	[1S0]#1LS1 ---> 	 M1M4	    3	[2D3/2]#1LS1	     9.5048024E+02	       0.000696879	           9.05952
	 372	   L1	    0	[1S0]#1LS1 ---> 	 M1M5	    5	[2D5/2]#1LS1	     9.5066860E+02	         0.0010589	           9.69494
	 373	   L1	    0	[1S0]#1LS1 ---> 	 M1M4	    1	[4D1/2]#1LS1	     9.5103473E+02	       1.19047e-09	           11.1055
	 374	   L1	    0	[1S0]#1LS1 ---> 	 M1M4	    3	[4D3/2]#1LS1	     9.5109589E+02	       4.10162e-07	           10.2812
	 375	   L1	    0	[1S0]#1LS1 ---> 	 M1M5	    5	[4D5/2]#1LS1	     9.5119190E+02	       1.04715e-06	           10.9198
	 376	   L1	    0	[1S0]#1LS1 ---> 	 M1M5	    7	[4D7/2]#1LS1	     9.5131516E+02	       3.43139e-09	           33.7507
	 377	   L1	    0	[1S0]#1LS1 ---> 	 M1N1	    1	[2S1/2]#1LS1	     9.5798116E+02	       4.63415e-06	           9.92712
