# Atomic number Z= 39  Date:M2-M1-  L3

# Radiative Yields
# Shelli ---> Shellf    Yield
  K      ---> K     7.965E-22
  K      ---> L1    3.205E-06
  K      ---> L2    1.349E-01
  K      ---> L3    4.345E-01
  K      ---> M1    7.644E-07
  K      ---> M2    3.425E-02
  K      ---> M3    6.999E-02
  K      ---> M4    9.578E-05
  K      ---> M5    1.025E-04
  K      ---> N1    1.198E-07
  K      ---> N2    4.837E-03
  K      ---> N3    9.298E-03
  K      ---> N4    2.651E-11
  K      ---> O1    1.567E-08
  K      FLyield    6.880E-01


# Non Radiative Yields

# Shelli ---> Shellf    Yield
  K      ---> L1    1.105E-01
  K      ---> L2    1.279E-01
  K      ---> L3    6.697E-02
  K      ---> M1    2.404E-03
  K      ---> M2    2.897E-03
  K      ---> M3    1.166E-03
  K      ---> M4    6.050E-05
  K      ---> M5    4.490E-05
  K      ---> N1    3.768E-05
  K      ---> N2    2.281E-05
  K      ---> N3    9.782E-06
  K      ---> N4    8.985E-09
  K      ---> O1    1.264E-07
  K      NRyield    3.120E-01


