#	Atomic	number	Z=	22	Date:24-03-2020											
																
#	Number	Shelli	2Ji	Eigi	--->	Shellf	2Jf	Eigf	Energy(eV)	BranchingRatio	LevelRadYield	Intensity(eV)	Weight(%)	RadWidth(eV)	AugWidth(eV)	TotWidth(eV)
	34	K	1	1	--->	L3	1	2	4.5100600E+03	1.2924120E-02	2.1762900E-01	6.2503647E-05	2.2000000E+00	1.9575560E-01	9.3761440E-01	1.1333700E+00
	35	K	1	1	--->	L3	1	3	4.5094440E+03	2.3402780E-02	2.1762900E-01	1.1318056E-04	2.2000000E+00	1.9577700E-01	9.3641640E-01	1.1321930E+00
	36	K	1	1	--->	L3	1	4	4.5072130E+03	3.9695430E-02	2.1762900E-01	1.9197506E-04	2.2000000E+00	1.9670220E-01	9.5249560E-01	1.1491980E+00
	37	K	1	1	--->	L3	3	1	4.5126850E+03	3.4922700E-02	2.1762900E-01	1.6889320E-04	2.2000000E+00	1.9576200E-01	9.3951660E-01	1.1352790E+00
	38	K	1	1	--->	L3	3	2	4.5108840E+03	1.3178480E-03	2.1762900E-01	6.3733783E-06	2.2000000E+00	1.9587650E-01	9.3806680E-01	1.1339430E+00
	39	K	1	1	--->	L3	3	3	4.5102490E+03	3.5648920E-01	2.1762900E-01	1.7240534E-03	2.2000000E+00	1.9584110E-01	9.3987170E-01	1.1357130E+00
	40	K	1	1	--->	L3	3	4	4.5096100E+03	3.4113740E-02	2.1762900E-01	1.6498090E-04	2.2000000E+00	1.9586370E-01	9.3728140E-01	1.1331450E+00
	41	K	1	1	--->	L3	3	5	4.5085560E+03	1.3833790E-01	2.1762900E-01	6.6903017E-04	2.2000000E+00	1.9607330E-01	9.4039750E-01	1.1364710E+00
	42	K	1	1	--->	L3	3	6	4.5076440E+03	8.8946380E-05	2.1762900E-01	4.3016263E-07	2.2000000E+00	1.9622250E-01	9.4020380E-01	1.1364260E+00
	43	K	1	1	--->	L3	3	7	4.5054290E+03	4.8399950E-04	2.1762900E-01	2.3407183E-06	2.2000000E+00	1.9603740E-01	9.4287160E-01	1.1389090E+00
	44	K	1	1	--->	L3	5	1	4.5125370E+03	1.0180170E-07	2.1762900E-01	4.9233325E-10	2.2000000E+00	1.9576270E-01	9.4094830E-01	1.1367110E+00
	45	K	1	1	--->	L3	5	2	4.5114330E+03	8.7897590E-09	2.1762900E-01	4.2509043E-11	2.2000000E+00	1.9577510E-01	9.3797740E-01	1.1337520E+00
	46	K	1	1	--->	L3	5	3	4.5108580E+03	1.3742370E-07	2.1762900E-01	6.6460860E-10	2.2000000E+00	1.9580200E-01	9.4134710E-01	1.1371490E+00
	47	K	1	1	--->	L3	5	4	4.5107420E+03	1.0298130E-07	2.1762900E-01	4.9803824E-10	2.2000000E+00	1.9579050E-01	9.4163530E-01	1.1374260E+00
	48	K	1	1	--->	L3	5	5	4.5096940E+03	1.5711740E-07	2.1762900E-01	7.5985111E-10	2.2000000E+00	1.9591460E-01	9.4683390E-01	1.1427480E+00
	49	K	1	1	--->	L3	5	6	4.5086470E+03	2.4940990E-07	2.1762900E-01	1.2061967E-09	2.2000000E+00	1.9623190E-01	9.6283530E-01	1.1590670E+00
	50	K	1	1	--->	L3	5	7	4.5079570E+03	6.9359690E-08	2.1762900E-01	3.3543732E-10	2.2000000E+00	1.9663270E-01	9.5934120E-01	1.1559740E+00
	51	K	1	1	--->	M1	1	1	4.9028460E+03	4.2676320E-09	2.1762900E-01	2.0639135E-11	2.2000000E+00	1.9570290E-01	2.8412050E+00	3.0369080E+00
	52	K	1	1	--->	M1	1	2	4.8971120E+03	2.6583710E-09	2.1762900E-01	1.2856416E-11	2.2000000E+00	1.9570200E-01	2.1993830E+00	2.3950850E+00
	53	K	1	1	--->	M1	1	3	4.8969490E+03	4.4411970E-11	2.1762900E-01	2.1478517E-13	2.2000000E+00	1.9570210E-01	2.9157930E+00	3.1114950E+00
	54	K	1	1	--->	M1	3	1	4.9047520E+03	2.7293450E-05	2.1762900E-01	1.3199658E-07	2.2000000E+00	1.9570250E-01	2.4973890E+00	2.6930920E+00
	55	K	1	1	--->	M1	3	2	4.9028370E+03	4.0930570E-06	2.1762900E-01	1.9794845E-08	2.2000000E+00	1.9570290E-01	3.0108720E+00	3.2065750E+00
	56	K	1	1	--->	M1	3	3	4.9012060E+03	1.7684630E-09	2.1762900E-01	8.5526440E-12	2.2000000E+00	1.9570250E-01	2.5993610E+00	2.7950630E+00
	57	K	1	1	--->	M1	3	4	4.8970880E+03	3.0606270E-06	2.1762900E-01	1.4801803E-08	2.2000000E+00	1.9570180E-01	2.1339830E+00	2.3296850E+00
	58	K	1	1	--->	M1	5	1	4.9047370E+03	1.8297970E-05	2.1762900E-01	8.8492635E-08	2.2000000E+00	1.9570260E-01	2.8048070E+00	3.0005100E+00
	59	K	1	1	--->	M1	5	2	4.9028260E+03	3.6992710E-05	2.1762900E-01	1.7890419E-07	2.2000000E+00	1.9570290E-01	2.8995740E+00	3.0952770E+00
	60	K	1	1	--->	M1	5	3	4.9012040E+03	6.8357650E-10	2.1762900E-01	3.3059122E-12	2.2000000E+00	1.9570310E-01	2.6684530E+00	2.8641570E+00
	61	K	1	1	--->	M1	5	4	4.8989150E+03	3.2782400E-06	2.1762900E-01	1.5854225E-08	2.2000000E+00	1.9570130E-01	1.9774880E+00	2.1731890E+00
	62	K	1	1	--->	M1	7	1	4.9047170E+03	5.0984260E-08	2.1762900E-01	2.4657019E-10	2.2000000E+00	1.9570260E-01	2.7789330E+00	2.9746360E+00
	63	K	1	1	--->	M1	7	2	4.9003700E+03	1.5425650E-09	2.1762900E-01	7.4601550E-12	2.2000000E+00	1.9570250E-01	2.5501490E+00	2.7458520E+00
	64	K	1	1	--->	M1	7	3	4.8988720E+03	2.2962040E-08	2.1762900E-01	1.1104903E-10	2.2000000E+00	1.9570250E-01	1.9946000E+00	2.1903020E+00
	65	K	1	1	--->	M1	9	1	4.9046910E+03	2.5634450E-07	2.1762900E-01	1.2397333E-09	2.2000000E+00	1.9570260E-01	2.5278870E+00	2.7235890E+00
	66	K	1	1	--->	M1	9	2	4.9003630E+03	2.3773860E-12	2.1762900E-01	1.1497518E-14	2.2000000E+00	1.9570240E-01	2.5004030E+00	2.6961060E+00
	67	K	1	1	--->	M2	1	2	4.9349860E+03	5.5850160E-03	2.1762900E-01	2.7010269E-05	2.2000000E+00	1.9568420E-01	7.2119980E-01	9.1688400E-01
	68	K	1	1	--->	M2	1	4	4.9310020E+03	2.1819500E-02	2.1762900E-01	1.0552348E-04	2.2000000E+00	1.9568470E-01	7.1365190E-01	9.0933650E-01
	69	K	1	1	--->	M2	1	6	4.9266870E+03	3.9868650E-05	2.1762900E-01	1.9281280E-07	2.2000000E+00	1.9568460E-01	7.1511680E-01	9.1080140E-01
	70	K	1	1	--->	M2	3	4	4.9337340E+03	3.7158540E-06	2.1762900E-01	1.7970616E-08	2.2000000E+00	1.9568380E-01	7.2136250E-01	9.1704630E-01
	71	K	1	1	--->	M2	3	5	4.9328250E+03	8.0227730E-05	2.1762900E-01	3.8799734E-07	2.2000000E+00	1.9568420E-01	7.3384960E-01	9.2953370E-01
	72	K	1	1	--->	M2	3	6	4.9310760E+03	2.1505000E-02	2.1762900E-01	1.0400249E-04	2.2000000E+00	1.9568480E-01	7.1391620E-01	9.0960110E-01
	73	K	1	1	--->	M2	5	3	4.9350650E+03	6.0879860E-13	2.1762900E-01	2.9442733E-15	2.2000000E+00	1.9568410E-01	7.1962040E-01	9.1530450E-01
	74	K	1	1	--->	M2	5	7	4.9316330E+03	3.4398310E-12	2.1762900E-01	1.6635713E-14	2.2000000E+00	1.9568480E-01	8.5016470E-01	1.0458500E+00
	75	K	1	1	--->	M3	1	1	4.9373230E+03	6.4470250E-03	2.1762900E-01	3.1179103E-05	2.2000000E+00	1.9568380E-01	7.2087840E-01	9.1656220E-01
	76	K	1	1	--->	M3	1	3	4.9330420E+03	2.5003930E-04	2.1762900E-01	1.2092401E-06	2.2000000E+00	1.9568390E-01	7.3020920E-01	9.2589310E-01
	77	K	1	1	--->	M3	1	5	4.9290650E+03	9.9610590E-04	2.1762900E-01	4.8173680E-06	2.2000000E+00	1.9568480E-01	7.0902110E-01	9.0470590E-01
	78	K	1	1	--->	M3	1	7	4.9195980E+03	1.7677100E-03	2.1762900E-01	8.5490014E-06	2.2000000E+00	1.9580490E-01	1.3865460E+00	1.5823510E+00
	79	K	1	1	--->	M3	3	1	4.9372890E+03	7.6314770E-03	2.1762900E-01	3.6907359E-05	2.2000000E+00	1.9568380E-01	7.2143080E-01	9.1711460E-01
	80	K	1	1	--->	M3	3	2	4.9350880E+03	3.0123380E-02	2.1762900E-01	1.4568269E-04	2.2000000E+00	1.9568390E-01	7.2251070E-01	9.1819460E-01
	81	K	1	1	--->	M3	3	3	4.9341070E+03	5.1371420E-05	2.1762900E-01	2.4844252E-07	2.2000000E+00	1.9568420E-01	7.1741980E-01	9.1310400E-01
	82	K	1	1	--->	M3	3	7	4.9295290E+03	2.0556470E-03	2.1762900E-01	9.9415218E-06	2.2000000E+00	1.9568470E-01	7.1611290E-01	9.1179760E-01
	83	K	1	1	--->	M3	3	8	4.9290670E+03	9.7041750E-03	2.1762900E-01	4.6931336E-05	2.2000000E+00	1.9568520E-01	7.0910550E-01	9.0479070E-01
	84	K	1	1	--->	M3	3	9	4.9271450E+03	1.6645190E-05	2.1762900E-01	8.0499478E-08	2.2000000E+00	1.9568480E-01	7.1527040E-01	9.1095510E-01
	85	K	1	1	--->	M3	3	10	4.9191650E+03	9.1556600E-04	2.1762900E-01	4.4278612E-06	2.2000000E+00	1.9580610E-01	1.3673170E+00	1.5631230E+00
	86	K	1	1	--->	M3	5	1	4.9372340E+03	2.0236790E-08	2.1762900E-01	9.7869171E-11	2.2000000E+00	1.9568380E-01	7.2261150E-01	9.1829530E-01
	87	K	1	1	--->	M3	5	2	4.9352480E+03	2.9710080E-08	2.1762900E-01	1.4368390E-10	2.2000000E+00	1.9568400E-01	7.2304870E-01	9.1873270E-01
	88	K	1	1	--->	M3	5	4	4.9340900E+03	2.3201600E-10	2.1762900E-01	1.1220760E-12	2.2000000E+00	1.9568420E-01	7.1928670E-01	9.1497090E-01
	89	K	1	1	--->	M3	5	5	4.9338560E+03	1.3094260E-11	2.1762900E-01	6.3326453E-14	2.2000000E+00	1.9568410E-01	7.2049510E-01	9.1617920E-01
	90	K	1	1	--->	M3	5	6	4.9337520E+03	5.1417170E-11	2.1762900E-01	2.4866369E-13	2.2000000E+00	1.9568450E-01	8.0905220E-01	1.0047370E+00
	91	K	1	1	--->	M3	5	8	4.9311760E+03	5.6321410E-08	2.1762900E-01	2.7238168E-10	2.2000000E+00	1.9568490E-01	7.1389910E-01	9.0958390E-01
	92	K	1	1	--->	M3	5	9	4.9293650E+03	1.1719290E-08	2.1762900E-01	5.6676813E-11	2.2000000E+00	1.9568470E-01	7.1608790E-01	9.1177260E-01
	93	K	1	1	--->	M3	5	10	4.9231680E+03	1.8646380E-11	2.1762900E-01	9.0177625E-14	2.2000000E+00	1.9575410E-01	2.6117970E+00	2.8075510E+00
	94	K	1	1	--->	M3	5	11	4.9179060E+03	1.7999710E-09	2.1762900E-01	8.7050200E-12	2.2000000E+00	1.9584610E-01	1.5415660E+00	1.7374120E+00
	95	K	1	1	--->	M4	3	1	4.9683120E+03	2.7827160E-06	2.1762900E-01	1.3457774E-08	2.2000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00
	96	K	1	1	--->	M4	5	1	4.9682720E+03	1.5802590E-06	2.1762900E-01	7.6424479E-09	2.2000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00
	97	K	1	1	--->	N1	1	1	4.9704740E+03	1.3428740E-13	2.1762900E-01	6.4944088E-16	2.2000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00
	98	K	1	1	--->	N1	1	2	4.9696770E+03	1.1027140E-09	2.1762900E-01	5.3329482E-12	2.2000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00
	99	K	1	1	--->	N1	1	3	4.9668720E+03	1.2614800E-14	2.1762900E-01	6.1007693E-17	2.2000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00
	100	K	1	1	--->	N1	3	1	4.9720710E+03	3.1251590E-06	2.1762900E-01	1.5113893E-08	2.2000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00
	101	K	1	1	--->	N1	3	2	4.9704710E+03	4.1022060E-07	2.1762900E-01	1.9839090E-09	2.2000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00
	102	K	1	1	--->	N1	3	3	4.9704540E+03	1.4851470E-07	2.1762900E-01	7.1824707E-10	2.2000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00
	103	K	1	1	--->	N1	3	4	4.9696650E+03	3.3199360E-07	2.1762900E-01	1.6055877E-09	2.2000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00
	104	K	1	1	--->	N1	5	1	4.9720600E+03	2.1116760E-06	2.1762900E-01	1.0212489E-08	2.2000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00
	105	K	1	1	--->	N1	5	2	4.9713230E+03	3.4060930E-07	2.1762900E-01	1.6472549E-09	2.2000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00
	106	K	1	1	--->	N1	5	3	4.9704770E+03	2.1898820E-06	2.1762900E-01	1.0590706E-08	2.2000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00
	107	K	1	1	--->	N1	5	4	4.9704390E+03	1.9978060E-06	2.1762900E-01	9.6617884E-09	2.2000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00
	108	K	1	1	--->	N1	7	1	4.9720460E+03	8.5232550E-09	2.1762900E-01	4.1220174E-11	2.2000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00
	109	K	1	1	--->	N1	7	2	4.9712920E+03	3.7945980E-09	2.1762900E-01	1.8351437E-11	2.2000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00
	110	K	1	1	--->	N1	7	3	4.9697330E+03	4.7209210E-12	2.1762900E-01	2.2831327E-14	2.2000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00
	111	K	1	1	--->	N1	9	1	4.9720270E+03	4.3454330E-08	2.1762900E-01	2.1015393E-10	2.2000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00
	112	K	1	1	--->	N1	9	2	4.9697330E+03	9.5967390E-11	2.1762900E-01	4.6411749E-13	2.2000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00
	113	K	1	2	--->	K	1	1	2.6310000E-02	1.6788800E-19	2.1474480E-01	8.0117940E-22	2.2000000E+00	3.8812280E-01	1.4071680E+00	1.7952910E+00
	114	K	1	2	--->	K	3	1	2.0167900E+00	2.5440140E-17	2.1474480E-01	1.2140307E-19	2.2000000E+00	3.8833940E-01	1.4080070E+00	1.7963460E+00
	115	K	1	2	--->	K	3	2	3.2842000E-01	1.1951520E-17	2.1474480E-01	5.7033920E-20	2.2000000E+00	3.8809480E-01	1.4080610E+00	1.7961560E+00
	116	K	1	2	--->	K	3	3	1.4400000E-02	5.6858350E-22	2.1474480E-01	2.7133410E-24	2.2000000E+00	3.8856970E-01	1.4083220E+00	1.7968920E+00
	117	K	1	2	--->	K	5	1	2.0222100E+00	1.5494070E-16	2.1474480E-01	7.3939353E-19	2.2000000E+00	3.8483250E-01	1.4078990E+00	1.7927310E+00
