# Atomic number Z= 22  Date:M2-M1-  L3

# Radiative Yields
# Shelli ---> Shellf    Yield
  K      ---> K     5.275E-16
  K      ---> L1    6.695E-05
  K      ---> L2    6.508E-02
  K      ---> L3    1.287E-01
  K      ---> M1    1.241E-05
  K      ---> M2    5.765E-03
  K      ---> M3    1.734E-02
  K      ---> M4    4.729E-06
  K      ---> N1    1.391E-06
  K      FLyield    2.170E-01

  L1     ---> L1    1.272E-16
  L1     ---> L2    5.447E-06
  L1     ---> L3    1.228E-05
  L1     ---> M1    7.316E-10
  L1     ---> M2    6.309E-05
  L1     ---> M3    1.814E-04
  L1     ---> M4    9.788E-08
  L1     ---> N1    8.929E-11
  L1     FLyield    2.623E-04

  L2     ---> L2    7.777E-14
  L2     ---> L3    4.446E-12
  L2     ---> M1    2.674E-04
  L2     ---> M2    5.256E-08
  L2     ---> M3    2.297E-07
  L2     ---> M4    1.572E-03
  L2     ---> N1    4.416E-05
  L2     FLyield    1.884E-03

  L3     ---> L2    1.696E-19
  L3     ---> L3    1.085E-13
  L3     ---> M1    2.617E-04
  L3     ---> M2    8.296E-08
  L3     ---> M3    2.213E-07
  L3     ---> M4    4.948E-04
  L3     ---> N1    5.399E-05
  L3     FLyield    8.108E-04

  M1     ---> M1    2.764E-16
  M1     ---> M2    2.742E-06
  M1     ---> M3    8.311E-06
  M1     ---> M4    7.680E-10
  M1     ---> N1    1.538E-12
  M1     FLyield    1.105E-05

  M2     ---> M2    4.213E-14
  M2     ---> M3    1.175E-13
  M2     ---> M4    3.136E-05
  M2     ---> N1    8.176E-06
  M2     FLyield    3.954E-05

  M3     ---> M2    7.536E-14
  M3     ---> M3    3.511E-13
  M3     ---> M4    8.172E-05
  M3     ---> N1    1.801E-05
  M3     FLyield    9.972E-05


# Non Radiative Yields

# Shelli ---> Shellf    Yield
  K      ---> L1    2.654E-01
  K      ---> L2    4.442E-01
  K      ---> L3    6.579E-02
  K      ---> M1    3.127E-03
  K      ---> M2    3.026E-03
  K      ---> M3    1.511E-03
  K      ---> M4    1.329E-06
  K      ---> N1    5.630E-06
  K      NRyield    7.830E-01


  L1     ---> L2    3.354E-01
  L1     ---> L3    6.088E-01
  L1     ---> M1    4.961E-02
  L1     ---> M2    1.592E-03
  L1     ---> M3    3.539E-03
  L1     ---> M4    7.496E-04
  L1     ---> N1    3.550E-05
  L1     NRyield    9.997E-01


  L2     ---> M1    1.943E-01
  L2     ---> M2    5.234E-01
  L2     ---> M3    2.551E-01
  L2     ---> M4    2.532E-02
  L2     ---> N1    2.564E-05
  L2     NRyield    9.981E-01


  L3     ---> M1    1.878E-01
  L3     ---> M2    4.377E-01
  L3     ---> M3    3.602E-01
  L3     ---> M4    1.343E-02
  L3     ---> N1    2.545E-05
  L3     NRyield    9.992E-01


  M1     ---> M2    2.630E-01
  M1     ---> M3    6.167E-01
  M1     ---> M4    1.160E-01
  M1     ---> N1    4.402E-03
  M1     NRyield    1.000E+00


  M2     ---> M3    2.823E-04
  M2     ---> M4    9.805E-01
  M2     ---> N1    1.923E-02
  M2     NRyield    1.000E+00


  M3     ---> M2    1.074E-03
  M3     ---> M3    7.159E-03
  M3     ---> M4    9.512E-01
  M3     ---> N1    4.049E-02
  M3     NRyield    9.999E-01


