8993.304801259346; Diagram: 19234.168505528898;      ShakeOff: 0;                       ShakeUp: 1.5756057344841459
8993.604879968516; Diagram: 19234.168505528898;      ShakeOff: 0;                       ShakeUp: 54.596589167448926
8993.904958677685; Diagram: 19234.168505528898;      ShakeOff: 0;                       ShakeUp: 102.63846637578592
8994.205037386855; Diagram: 19234.168505528898;      ShakeOff: 0;                       ShakeUp: 102.63846637578592
8994.505116096025; Diagram: 19234.168505528898;      ShakeOff: 0;                       ShakeUp: 102.63846637578592
8994.805194805194; Diagram: 19234.168505528898;      ShakeOff: 0;                       ShakeUp: 102.63846637578592
8995.105273514364; Diagram: 19234.168505528898;      ShakeOff: 0;                       ShakeUp: 102.63846637578592
8995.405352223534; Diagram: 19234.168505528898;      ShakeOff: 0;                       ShakeUp: 102.63846637578592
8995.705430932703; Diagram: 19234.168505528898;      ShakeOff: 0;                       ShakeUp: 102.63846637578592
8996.005509641873; Diagram: 19234.168505528898;      ShakeOff: 2.4561e-319;             ShakeUp: 102.6384663763748
8996.305588351042; Diagram: 19234.168505528898;      ShakeOff: 1.322962406878489e-290;  ShakeUp: 102.638488602479
8996.605667060212; Diagram: 19234.168505528898;      ShakeOff: 4.32731502669131e-263;   ShakeUp: 102.67981322636263
8996.905745769382; Diagram: 19234.168505528898;      ShakeOff: 6.245160924997354e-237;  ShakeUp: 110.10868812542938
8997.205824478551; Diagram: 19234.168505528898;      ShakeOff: 3.97670033887077e-212;   ShakeUp: 320.43867745583805
8997.50590318772;  Diagram: 19234.168505528898;      ShakeOff: 1.117265042315654e-188;  ShakeUp: 585.4141600739861
8997.80598189689;  Diagram: 19234.168505528898;      ShakeOff: 1.384980524236049e-166;  ShakeUp: 632.605366532097
8998.10606060606;  Diagram: 19234.168505528898;      ShakeOff: 7.5750452910001055e-146; ShakeUp: 783.2816445728218
8998.40613931523;  Diagram: 19234.168505528898;      ShakeOff: 1.8280198736289083e-126; ShakeUp: 808.5952748498407
8998.7062180244;   Diagram: 19234.168505528898;      ShakeOff: 1.9463937603168062e-108; ShakeUp: 809.3355624896824
8999.006296733569; Diagram: 19234.168505528898;      ShakeOff: 9.143966073903497e-92;   ShakeUp: 897.6786669009509
8999.306375442738; Diagram: 19234.168505528898;      ShakeOff: 1.895363967629187e-76;   ShakeUp: 1281.4091138885299
8999.606454151908; Diagram: 19234.168505528898;      ShakeOff: 1.7334237624339748e-62;  ShakeUp: 1282.3054657586852
8999.906532861078; Diagram: 19234.168505528898;      ShakeOff: 6.994730448800402e-50;   ShakeUp: 1282.3054657588248
9000.206611570247; Diagram: 19234.168505528898;      ShakeOff: 1.2453497329658687e-38;  ShakeUp: 1282.3054787471774
9000.506690279417; Diagram: 19234.168505528898;      ShakeOff: 9.782858964763442e-29;   ShakeUp: 1282.3589415775411
9000.806768988587; Diagram: 19234.168505528898;      ShakeOff: 3.3907390251313886e-20;  ShakeUp: 1292.0306531621684
9001.106847697756; Diagram: 19234.168505528898;      ShakeOff: 5.185337736966922e-13;   ShakeUp: 1361.8762418039887
9001.406926406926; Diagram: 19234.168505528898;      ShakeOff: 3.498757513043845e-07;   ShakeUp: 1375.0837758848813
9001.707005116095; Diagram: 19234.168505528898;      ShakeOff: 0.01041609065755427;     ShakeUp: 1380.9579871113408
9002.007083825265; Diagram: 19234.168505528898;      ShakeOff: 13.682005791367365;      ShakeUp: 1383.9056823166827
9002.307162534435; Diagram: 19234.168505528898;      ShakeOff: 792.9556543682213;       ShakeUp: 1383.9056823166827
9002.607241243604; Diagram: 19234.168505528898;      ShakeOff: 2157.146558309996;       ShakeUp: 1383.9056823166827
9002.907319952774; Diagram: 19234.168505528898;      ShakeOff: 2157.146558309996;       ShakeUp: 1383.9056823166827
9003.207398661943; Diagram: 19234.168505528898;      ShakeOff: 2157.146558309996;       ShakeUp: 1383.9056823166827
9003.507477371113; Diagram: 19234.168505528898;      ShakeOff: 2157.146558309996;       ShakeUp: 1383.9056823166827
9003.807556080283; Diagram: 19234.168505528898;      ShakeOff: 2157.146558309996;       ShakeUp: 1383.905682316684
9004.107634789452; Diagram: 19234.168505528898;      ShakeOff: 2157.146558309996;       ShakeUp: 1383.9056825529474
9004.407713498622; Diagram: 19234.168505528898;      ShakeOff: 2157.146558309996;       ShakeUp: 1383.9075892214382
9004.707792207791; Diagram: 19234.168505528898;      ShakeOff: 2157.146558309996;       ShakeUp: 1384.677529279282
9005.007870916961; Diagram: 19234.168505528898;      ShakeOff: 2157.146558309996;       ShakeUp: 1402.159149365921
9005.30794962613;  Diagram: 19234.168505528898;      ShakeOff: 2157.146558309996;       ShakeUp: 1434.3410688619363
9005.6080283353;   Diagram: 19234.168505528898;      ShakeOff: 2157.146558309996;       ShakeUp: 1491.6969876836945
9005.90810704447;  Diagram: 19234.168505528898;      ShakeOff: 2157.146558309996;       ShakeUp: 1645.5430025757796
9006.20818575364;  Diagram: 19234.168505528898;      ShakeOff: 2157.146558309996;       ShakeUp: 1762.0122244484664
9006.50826446281;  Diagram: 19234.168505528898;      ShakeOff: 2157.146558309996;       ShakeUp: 1788.49000133537
9006.808343171979; Diagram: 19234.168505528898;      ShakeOff: 2157.146558309996;       ShakeUp: 1807.0504392307282
9007.108421881148; Diagram: 19234.168505528898;      ShakeOff: 2157.146558309996;       ShakeUp: 1807.061459902457
9007.408500590318; Diagram: 19234.168505528898;      ShakeOff: 2157.146558309996;       ShakeUp: 1808.6362634205161
9007.708579299488; Diagram: 19234.168505528898;      ShakeOff: 2157.146558309996;       ShakeUp: 1854.4556410416653
9008.008658008657; Diagram: 19234.168505528898;      ShakeOff: 2157.146558309996;       ShakeUp: 1928.3865533069377
9008.308736717827; Diagram: 19234.168505528898;      ShakeOff: 2157.146558309996;       ShakeUp: 1988.519304170064
9008.608815426996; Diagram: 19234.168505528898;      ShakeOff: 2157.146558309996;       ShakeUp: 2033.4466540740477
9008.908894136166; Diagram: 19234.168505528898;      ShakeOff: 2157.146558309996;       ShakeUp: 2033.7699127551282
9009.208972845336; Diagram: 19234.168505528898;      ShakeOff: 2157.146558309996;       ShakeUp: 2033.7699127551282
9009.509051554505; Diagram: 19234.168505528898;      ShakeOff: 2157.146558309996;       ShakeUp: 2033.7699127551282
9009.809130263675; Diagram: 19234.168505528898;      ShakeOff: 2157.146558309998;       ShakeUp: 2033.7699127551282
9010.109208972844; Diagram: 19234.168505528898;      ShakeOff: 2157.146558751177;       ShakeUp: 2033.7699127551282
9010.409287682014; Diagram: 19234.168505528898;      ShakeOff: 2157.150732910662;       ShakeUp: 2033.7699127551282
9010.709366391184; Diagram: 19234.168505528898;      ShakeOff: 2158.988739105452;       ShakeUp: 2033.7699127551282
9011.009445100353; Diagram: 19234.168505528898;      ShakeOff: 2200.201598615142;       ShakeUp: 2033.7699127551282
9011.309523809523; Diagram: 19234.168505528898;      ShakeOff: 2276.71280977329;        ShakeUp: 2033.7699127551282
9011.609602518693; Diagram: 19234.168505528898;      ShakeOff: 2473.1845255791163;      ShakeUp: 2033.7699127551282
9011.909681227862; Diagram: 19234.168505528898;      ShakeOff: 2650.7729122129153;      ShakeUp: 2033.7699127551282
9012.209759937032; Diagram: 19234.168505528898;      ShakeOff: 2652.9046611142417;      ShakeUp: 2033.7699127551282
9012.509838646201; Diagram: 19234.168505528898;      ShakeOff: 2652.9046611142417;      ShakeUp: 2033.7699127551282
9012.809917355371; Diagram: 19234.168505528898;      ShakeOff: 2652.9046611142417;      ShakeUp: 2033.7699127551282
9013.10999606454;  Diagram: 19234.168505528898;      ShakeOff: 2652.9046611142417;      ShakeUp: 2033.7699127551282
9013.410074773712; Diagram: 19234.168505528898;      ShakeOff: 2652.9046611142417;      ShakeUp: 2033.7699127551282
9013.710153482882; Diagram: 19234.168505528898;      ShakeOff: 2652.9046611142417;      ShakeUp: 2033.7699127551282
9014.010232192051; Diagram: 19234.168505528898;      ShakeOff: 2652.9046611142417;      ShakeUp: 2033.7699127551282
9014.31031090122;  Diagram: 19234.168505528898;      ShakeOff: 2652.9046611142417;      ShakeUp: 2033.7699127551282
9014.61038961039;  Diagram: 19234.168505528898;      ShakeOff: 2652.9046611142417;      ShakeUp: 2033.7699127551282
9014.91046831956;  Diagram: 19234.168505528898;      ShakeOff: 2652.9046611142417;      ShakeUp: 2033.7699127551282
9015.21054702873;  Diagram: 19234.168505528898;      ShakeOff: 2652.9046611142417;      ShakeUp: 2033.7699127551282
9015.5106257379;   Diagram: 19234.168505528898;      ShakeOff: 2652.9046611142417;      ShakeUp: 2033.7699127551282
9015.810704447069; Diagram: 19234.168505528898;      ShakeOff: 2652.9046611142417;      ShakeUp: 2033.7699127551282
9016.110783156239; Diagram: 19234.168505528898;      ShakeOff: 2652.9046611142417;      ShakeUp: 2033.7699127551282
9016.410861865408; Diagram: 19234.168505528898;      ShakeOff: 2652.9046611142417;      ShakeUp: 2033.7699127551282
9016.710940574578; Diagram: 19234.168505528898;      ShakeOff: 2652.9046611142417;      ShakeUp: 2033.7699127551282
9017.011019283747; Diagram: 19234.168505528898;      ShakeOff: 2652.9046611142417;      ShakeUp: 2033.7699127551282
9017.311097992917; Diagram: 19234.168505528898;      ShakeOff: 2652.9046611142417;      ShakeUp: 2033.7699127551282
9017.611176702087; Diagram: 19234.168505528898;      ShakeOff: 2652.9046611142417;      ShakeUp: 2033.7699127551282
9017.911255411256; Diagram: 19234.168505528898;      ShakeOff: 2652.9046611142417;      ShakeUp: 2033.7699127551282
9018.211334120426; Diagram: 19234.168505528898;      ShakeOff: 2652.9046611142417;      ShakeUp: 2033.7699127551282
9018.511412829595; Diagram: 19234.168505528898;      ShakeOff: 2652.9046611142417;      ShakeUp: 2033.7699127551282
9018.811491538765; Diagram: 19234.168505528898;      ShakeOff: 2652.9046611142417;      ShakeUp: 2033.7699127551282
9019.111570247935; Diagram: 19234.168505528898;      ShakeOff: 2652.9046611142417;      ShakeUp: 2033.7699127551282
9019.411648957104; Diagram: 19234.168505528898;      ShakeOff: 2652.9046611142417;      ShakeUp: 2033.7699127551282
9019.711727666274; Diagram: 19234.168505528898;      ShakeOff: 2652.9046611142417;      ShakeUp: 2033.7699127551282
9020.011806375443; Diagram: 19234.168505528898;      ShakeOff: 2652.9046611142417;      ShakeUp: 2033.7699127551282
9020.311885084613; Diagram: 19234.168505528898;      ShakeOff: 2652.9046611142417;      ShakeUp: 2033.7699127551282
9020.611963793783; Diagram: 19234.168505528898;      ShakeOff: 2652.9046611142417;      ShakeUp: 2033.7699127551282
9020.912042502952; Diagram: 19234.168505528898;      ShakeOff: 2652.9046611142417;      ShakeUp: 2033.7699127551282
9021.212121212122; Diagram: 19234.168505528898;      ShakeOff: 2652.9046611142417;      ShakeUp: 2033.7699127551282
9021.512199921292; Diagram: 19234.168505528898;      ShakeOff: 2652.9046611142417;      ShakeUp: 2033.7699127551282
9021.812278630461; Diagram: 19234.168505528898;      ShakeOff: 2652.9046611142417;      ShakeUp: 2033.7699127551282
9022.11235733963;  Diagram: 19234.168505528898;      ShakeOff: 2652.9046611142417;      ShakeUp: 2033.7699127551282
9022.4124360488;   Diagram: 19234.168505528898;      ShakeOff: 2652.9046611142417;      ShakeUp: 2033.7699127551282
9022.71251475797;  Diagram: 19234.168505528898;      ShakeOff: 2652.9046611142417;      ShakeUp: 2033.7699127551282
9023.01259346714;  Diagram: 19234.168505528898;      ShakeOff: 2652.9046611142417;      ShakeUp: 2033.7699127551282
9023.31267217631;  Diagram: 19234.168505528898;      ShakeOff: 2652.9046611142417;      ShakeUp: 2033.7699127551282
9023.612750885479; Diagram: 19234.168505528898;      ShakeOff: 2652.9046611142417;      ShakeUp: 2033.7699127551282
9023.912829594648; Diagram: 19234.168505528898;      ShakeOff: 2652.9046611142417;      ShakeUp: 2033.7699127551282
9024.212908303818; Diagram: 19234.168505528898;      ShakeOff: 2652.9046611142417;      ShakeUp: 2033.7699127551282
9024.512987012988; Diagram: 19234.168505528898;      ShakeOff: 2652.9046611142417;      ShakeUp: 2033.7699127551282
9024.813065722157; Diagram: 19234.168505528898;      ShakeOff: 2652.9046611142417;      ShakeUp: 2033.7699127551282
9025.113144431327; Diagram: 19234.168505528898;      ShakeOff: 2652.9046611142417;      ShakeUp: 2033.7699127551282
9025.413223140496; Diagram: 19234.168505528898;      ShakeOff: 2652.9046611142417;      ShakeUp: 2033.7699127551282
9025.713301849666; Diagram: 19234.168505528898;      ShakeOff: 2652.9046611142417;      ShakeUp: 2033.7699127551282
9026.013380558836; Diagram: 19234.168505528898;      ShakeOff: 2652.9046611142417;      ShakeUp: 2033.7699127551282
9026.313459268005; Diagram: 19234.168505528898;      ShakeOff: 2652.9046611142417;      ShakeUp: 2033.7699127551282
9026.613537977175; Diagram: 19234.168505528898;      ShakeOff: 2652.9046611142417;      ShakeUp: 2033.7699127551282
9026.913616686345; Diagram: 19234.168505528898;      ShakeOff: 2652.9046611142417;      ShakeUp: 2033.7699127551282
9027.213695395514; Diagram: 19234.168505528898;      ShakeOff: 2652.9046611142417;      ShakeUp: 2033.7699127551282
9027.513774104684; Diagram: 19234.168505528898;      ShakeOff: 2652.9046611142417;      ShakeUp: 2033.7699127551282
9027.813852813853; Diagram: 19234.168505528898;      ShakeOff: 2652.9046611142417;      ShakeUp: 2033.7699127551282
9028.113931523023; Diagram: 19234.168505528898;      ShakeOff: 2652.9046611142417;      ShakeUp: 2033.7699127551282
9028.414010232193; Diagram: 19234.168505528898;      ShakeOff: 2652.9046611142417;      ShakeUp: 2033.7699127551282
9028.714088941362; Diagram: 19234.168505528898;      ShakeOff: 2652.9046611142417;      ShakeUp: 2033.7699127551282
9029.014167650532; Diagram: 19234.168505528898;      ShakeOff: 2652.9046611142417;      ShakeUp: 2033.7699127551282
9029.314246359701; Diagram: 19234.168505528898;      ShakeOff: 2652.9046611142417;      ShakeUp: 2033.7699127551282
9029.614325068871; Diagram: 19234.168505528898;      ShakeOff: 2652.9046611142417;      ShakeUp: 2033.7699127551282
9029.91440377804;  Diagram: 19234.168505528898;      ShakeOff: 2652.9046611142417;      ShakeUp: 2033.7699127551282
9030.21448248721;  Diagram: 19234.168505528898;      ShakeOff: 2652.9046611142417;      ShakeUp: 2033.7699127551282
9030.51456119638;  Diagram: 19234.168505528898;      ShakeOff: 2652.9046611142417;      ShakeUp: 2033.7699127551282
9030.81463990555;  Diagram: 19234.168505528898;      ShakeOff: 2652.9046611142417;      ShakeUp: 2033.7699127551282
9031.11471861472;  Diagram: 19234.168505528898;      ShakeOff: 2652.9046611142417;      ShakeUp: 2033.7699127551282
9031.414797323889; Diagram: 19234.168505528898;      ShakeOff: 2652.9046611142417;      ShakeUp: 2033.7699127551282
9031.714876033058; Diagram: 19234.168505528898;      ShakeOff: 2652.9046611142417;      ShakeUp: 2033.7699127551282
9032.014954742228; Diagram: 19234.168505528898;      ShakeOff: 2652.9046611142417;      ShakeUp: 2033.7699127551282
9032.315033451398; Diagram: 19234.168505528898;      ShakeOff: 2652.9046611142417;      ShakeUp: 2033.7699127551282
9032.615112160567; Diagram: 19234.168505528898;      ShakeOff: 2652.9046611142417;      ShakeUp: 2033.7699127551282
9032.915190869737; Diagram: 19234.168505528898;      ShakeOff: 2652.9046611142417;      ShakeUp: 2033.7699127551282
9033.215269578906; Diagram: 19234.168505528898;      ShakeOff: 2652.9046611142417;      ShakeUp: 2033.7699127551282
