# Atomic number Z= 29  Date:24-11-2022

# Register Shelli	2Ji		Eigi	 ---> 	 Shellf		2Jf		Eigf	Energy(eV)			Rate(s-1)		Width(eV)
	51 	   K1	    0	     1		 ---> 	 L3M2	    5	     3		7.9395901E+03     	3.5621660E+13  	0.14731934853989534
	52 	   K1	    0	     1		 ---> 	 L3M2	    1	     2		7.9399888E+03     	1.7943390E+11  	0.0007420789837972944
	53 	   K1	    0	     1		 ---> 	 L3M2	    3	     3		7.9402289E+03     	6.2971459E+11  	0.0026042902875628845
	54 	   K1	    0	     1		 ---> 	 L3M2	    3	     2		7.9407336E+03     	1.5486429E+12  	0.006404672414169758
	55 	   K1	    0	     1		 ---> 	 L3M2	    5	     2		7.9409335E+03     	6.9394675E+11  	0.002869933156719188
	56 	   K1	    0	     1		 ---> 	 L3M3	    1	     3		7.9433931E+03     	6.3974437E+12  	0.026457701247068713
	57 	   K1	    0	     1		 ---> 	 L3M3	    5	     1		7.9455553E+03     	3.5180248E+11  	0.001454938151908686
	58 	   K1	    0	     1		 ---> 	 L3M3	    7	     1		7.9459555E+03     	6.5264916E+07  	2.699140047833535e-07
	59 	   K1	    0	     1		 ---> 	 L3M3	    1	     1		7.9459949E+03     	1.9253324E+10  	7.96253501074215e-05
	60 	   K1	    0	     1		 ---> 	 L3M3	    3	     1		7.9460559E+03     	1.2480026E+10  	5.161324037344009e-05
	61 	   K1	    0	     1		 ---> 	 L2M4	    3	     7		7.9992621E+03     	9.6555121E+08  	3.993198948030712e-06
	62 	   K1	    0	     1		 ---> 	 L2M4	    1	     4		7.9994595E+03     	2.7603573E+10  	0.00011415920515027779
	63 	   K1	    0	     1		 ---> 	 L2M5	    5	     7		8.0001226E+03     	2.9332184E+11  	0.0012130816582192805
	64 	   K1	    0	     1		 ---> 	 L2M5	    7	     4		8.0003914E+03     	3.4113090E+12  	0.014108040432374062
	65 	   K1	    0	     1		 ---> 	 L2M5	    3	     6		8.0008542E+03     	4.9128271E+10  	0.00020317820333503358
	66 	   K1	    0	     1		 ---> 	 L2M5	    5	     6		8.0011536E+03     	3.8769243E+10  	0.0001603367058734741
	67 	   K1	    0	     1		 ---> 	 L2M4	    5	     5		8.0023545E+03     	9.5323023E+11  	0.0039422434690616496
	68 	   K1	    0	     1		 ---> 	 L2M4	    3	     5		8.0025593E+03     	1.5976626E+09  	6.6074016039273686e-06
	69 	   K1	    0	     1		 ---> 	 L2N1	    1	     1		8.0107521E+03     	3.9290407E+09  	1.6249206699259227e-05
	70 	   K1	    0	     1		 ---> 	 L3M5	    1	     3		8.0185805E+03     	1.7189732E+08  	7.109101933529747e-07
	71 	   K1	    0	     1		 ---> 	 L3M5	    3	     4		8.0187068E+03     	2.9925317E+10  	0.00012376116680945962
	72 	   K1	    0	     1		 ---> 	 L3M5	    5	     4		8.0190196E+03     	2.6878975E+12  	0.01111625086090916
	73 	   K1	    0	     1		 ---> 	 L3M4	    7	     3		8.0190228E+03     	1.0484548E+12  	0.00433606064707614
	74 	   K1	    0	     1		 ---> 	 L3M4	    1	     2		8.0198077E+03     	4.0393686E+10  	0.00016705486231256744
	75 	   K1	    0	     1		 ---> 	 L3M4	    3	     3		8.0201591E+03     	3.4412544E+10  	0.0001423188465579786
	76 	   K1	    0	     1		 ---> 	 L3M4	    1	     1		8.0202750E+03     	1.1196579E+10  	4.630533007601198e-05
	77 	   K1	    0	     1		 ---> 	 L3M4	    3	     2		8.0207385E+03     	2.3080610E+10  	9.545373318097455e-05
	78 	   K1	    0	     1		 ---> 	 L3M4	    5	     3		8.0208689E+03     	2.6126597E+11  	0.001080509232193105
	79 	   K1	    0	     1		 ---> 	 L3M4	    5	     2		8.0216225E+03     	6.4315660E+11  	0.002659881974089193
	80 	   K1	    0	     1		 ---> 	 L3M5	    7	     2		8.0218453E+03     	4.4110843E+11  	0.001824277884384277
	81 	   K1	    0	     1		 ---> 	 L3M5	    7	     1		8.0227007E+03     	1.6914122E+12  	0.00699511879616029
	82 	   K1	    0	     1		 ---> 	 L3M5	    5	     1		8.0227531E+03     	1.1084865E+11  	0.00045843318095021033
	83 	   K1	    0	     1		 ---> 	 L3M5	    3	     1		8.0227964E+03     	4.4007004E+09  	1.8199834484054275e-05
	84 	   K1	    0	     1		 ---> 	 L3M5	    9	     1		8.0230516E+03     	8.2588511E+07  	3.415586370034406e-07
	85 	   K1	    0	     1		 ---> 	 L3N1	    3	     1		8.0308171E+03     	1.2415929E+09  	5.134815648112958e-06
	86 	   K1	    0	     1		 ---> 	 M1M1	    1	     1		8.7010620E+03     	1.5453421E+12  	0.006391021402238801
	87 	   K1	    0	     1		 ---> 	 M1M3	    3	     3		8.7418231E+03     	1.8959280E+12  	0.007840928183541887
	88 	   K1	    0	     1		 ---> 	 M1M3	    1	     3		8.7419830E+03     	1.0542086E+12  	0.004359856451865385
	89 	   K1	    0	     1		 ---> 	 M1M2	    1	     2		8.7555113E+03     	2.7622781E+11  	0.0011423864305538257
	90 	   K1	    0	     1		 ---> 	 M1M2	    1	     1		8.7564072E+03     	7.9408431E+10  	0.00032840688287674496
	91 	   K1	    0	     1		 ---> 	 M1M2	    3	     2		8.7565953E+03     	3.3286214E+11  	0.0013766071996194292
	92 	   K1	    0	     1		 ---> 	 M1M3	    3	     1		8.7578963E+03     	3.8430517E+11  	0.0015893584769747881
	93 	   K1	    0	     1		 ---> 	 M1M3	    5	     1		8.7583293E+03     	3.3592750E+08  	1.38928450994804e-06
	94 	   K1	    0	     1		 ---> 	 M2M2	    1	     3		8.7905151E+03     	6.5341537E+11  	0.002702308837778887
	95 	   K1	    0	     1		 ---> 	 M2M3	    3	     3		8.7968896E+03     	2.6188732E+12  	0.010830789293160146
	96 	   K1	    0	     1		 ---> 	 M2M3	    5	     2		8.7969302E+03     	3.9822490E+12  	0.016469258546728302
	97 	   K1	    0	     1		 ---> 	 M2M3	    1	     2		8.7997972E+03     	1.2790164E+10  	5.289586808134214e-05
	98 	   K1	    0	     1		 ---> 	 M2M3	    3	     2		8.8004472E+03     	2.2216471E+09  	9.187994143382081e-06
	99 	   K1	    0	     1		 ---> 	 M2M3	    1	     1		8.8005070E+03     	2.9751475E+10  	0.0001230422140658516
	100	   K1	    0	     1		 ---> 	 M3M3	    3	     1		8.8020895E+03     	1.3519071E+11  	0.0005591038521463041
	101	   K1	    0	     1		 ---> 	 M3M3	    5	     1		8.8026687E+03     	2.2772523E+11  	0.00094179587727517
	102	   K1	    0	     1		 ---> 	 M1M5	    5	     3		8.8250947E+03     	1.7358663E+09  	7.178966181485044e-06
	103	   K1	    0	     1		 ---> 	 M1M5	    3	     3		8.8250995E+03     	1.8687460E+09  	7.728512464229216e-06
	104	   K1	    0	     1		 ---> 	 M1M4	    3	     2		8.8301030E+03     	6.5954479E+10  	0.00027276580820681035
	105	   K1	    0	     1		 ---> 	 M1M5	    5	     2		8.8302914E+03     	9.1013667E+10  	0.0003764022825064012
	106	   K1	    0	     1		 ---> 	 M1M4	    1	     1		8.8306575E+03     	6.5913628E+06  	2.7259686204576105e-08
	107	   K1	    0	     1		 ---> 	 M1M4	    3	     1		8.8307187E+03     	4.0131983E+07  	1.6597254566952114e-07
	108	   K1	    0	     1		 ---> 	 M1M5	    5	     1		8.8308147E+03     	1.8047931E+08  	7.464024521633696e-07
	109	   K1	    0	     1		 ---> 	 M1M5	    7	     1		8.8309379E+03     	5.7048487E+06  	2.3593358479157595e-08
	110	   K1	    0	     1		 ---> 	 M1N1	    1	     1		8.8376039E+03     	6.0878797E+09  	2.517744741242417e-05
	111	   K1	    0	     1		 ---> 	 M2M5	    5	     7		8.8675262E+03     	2.5400828E+11  	0.0010504938381125227
	112	   K1	    0	     1		 ---> 	 M2M5	    7	     4		8.8675357E+03     	3.8762862E+11  	0.0016031031617790594
	113	   K1	    0	     1		 ---> 	 M2M4	    3	     7		8.8686183E+03     	1.4996654E+09  	6.202117749588918e-06
	114	   K1	    0	     1		 ---> 	 M2M4	    1	     4		8.8686310E+03     	1.6550744E+09  	6.8448377305565815e-06
	115	   K1	    0	     1		 ---> 	 M2M5	    3	     6		8.8748638E+03     	2.9993896E+09  	1.240447867643836e-05
	116	   K1	    0	     1		 ---> 	 M2M5	    5	     6		8.8753119E+03     	1.2451107E+09  	5.149364099933947e-06
	117	   K1	    0	     1		 ---> 	 M2M4	    3	     5		8.8756736E+03     	3.8765351E+08  	1.6032060985480128e-06
	118	   K1	    0	     1		 ---> 	 M2M4	    1	     3		8.8758206E+03     	3.1902357E+08  	1.3193754727115945e-06
	119	   K1	    0	     1		 ---> 	 M3M5	    5	     5		8.8762727E+03     	4.9996392E+09  	2.067684633109528e-05
	120	   K1	    0	     1		 ---> 	 M3M5	    7	     3		8.8768401E+03     	9.8144653E+08  	4.058936709472295e-06
	121	   K1	    0	     1		 ---> 	 M3M4	    3	     4		8.8768855E+03     	6.7737039E+09  	2.801378840149921e-05
	122	   K1	    0	     1		 ---> 	 M3M4	    1	     2		8.8772416E+03     	4.6823137E+09  	1.9364493511628234e-05
	123	   K1	    0	     1		 ---> 	 M3M4	    5	     4		8.8774627E+03     	7.2457645E+08  	2.996607417547359e-06
	124	   K1	    0	     1		 ---> 	 M3M4	    3	     3		8.8778711E+03     	2.5638773E+08  	1.06033445261177e-06
	125	   K1	    0	     1		 ---> 	 M3M4	    1	     1		8.8779910E+03     	2.7964699E+07  	1.156527022826635e-07
	126	   K1	    0	     1		 ---> 	 M2M4	    5	     3		8.8805279E+03     	9.2279974E+10  	0.0003816393074595199
	127	   K1	    0	     1		 ---> 	 M2M4	    3	     2		8.8808269E+03     	1.8445958E+08  	7.628635262237276e-07
	128	   K1	    0	     1		 ---> 	 M3M4	    5	     2		8.8821408E+03     	9.0510039E+10  	0.0003743194444560001
	129	   K1	    0	     1		 ---> 	 M3M4	    7	     2		8.8823165E+03     	1.0880611E+11  	0.0004499859142544225
	130	   K1	    0	     1		 ---> 	 M3M5	    3	     1		8.8825601E+03     	3.2711198E+07  	1.3528264486605978e-07
	131	   K1	    0	     1		 ---> 	 M3M4	    5	     1		8.8826004E+03     	1.3180938E+09  	5.451197948957884e-06
	132	   K1	    0	     1		 ---> 	 M3M5	    7	     1		8.8833150E+03     	8.6252018E+10  	0.0003567096845574105
	133	   K1	    0	     1		 ---> 	 M3M5	    9	     1		8.8837892E+03     	1.2504463E+07  	5.171430368492724e-08
	134	   K1	    0	     1		 ---> 	 M2N1	    1	     1		8.8839063E+03     	1.4341898E+08  	5.9313324257927e-07
	135	   K1	    0	     1		 ---> 	 M3N1	    3	     1		8.8864198E+03     	6.6138535E+06  	2.7352700266026533e-08
	136	   K1	    0	     1		 ---> 	 M5M5	    1	     3		8.9472512E+03     	6.4471514E+07  	2.666327577620117e-07
	137	   K1	    0	     1		 ---> 	 M4M5	    7	     3		8.9524762E+03     	1.1692344E+10  	4.835564937131942e-05
	138	   K1	    0	     1		 ---> 	 M4M5	    9	     2		8.9524801E+03     	1.4779786E+10  	6.112428351399305e-05
