"8022.1	","	0.256212"
"8022.11	","	0.252069"
"8022.12	","	0.244013"
"8022.13	","	0.259119"
"8022.14	","	0.259194"
"8022.15	","	0.264873"
"8022.16	","	0.269016"
"8022.17	","	0.251629"
"8022.18	","	0.259174"
"8022.19	","	0.249163"
"8022.2	","	0.276614"
"8022.21	","	0.264512"
"8022.22	","	0.262558"
"8022.23	","	0.264018"
"8022.24	","	0.265824"
"8022.25	","	0.281863"
"8022.26	","	0.265731"
"8022.27	","	0.271532"
"8022.28	","	0.263944"
"8022.29	","	0.277217"
"8022.3	","	0.259827"
"8022.31	","	0.282431"
"8022.32	","	0.283383"
"8022.33	","	0.277916"
"8022.34	","	0.268215"
"8022.35	","	0.274683"
"8022.36	","	0.280433"
"8022.37	","	0.278644"
"8022.38	","	0.279527"
"8022.39	","	0.280607"
"8022.4	","	0.285823"
"8022.41	","	0.283563"
"8022.42	","	0.285464"
"8022.43	","	0.286427"
"8022.44	","	0.277672"
"8022.45	","	0.288744"
"8022.46	","	0.28353"
"8022.47	","	0.288819"
"8022.48	","	0.291999"
"8022.49	","	0.278291"
"8022.5	","	0.294359"
"8022.51	","	0.306082"
"8022.52	","	0.299809"
"8022.53	","	0.289127"
"8022.54	","	0.30456"
"8022.55	","	0.286184"
"8022.56	","	0.303749"
"8022.57	","	0.305368"
"8022.58	","	0.30577"
"8022.59	","	0.313858"
"8022.6	","	0.302915"
"8022.61	","	0.310905"
"8022.62	","	0.308655"
"8022.63	","	0.309889"
"8022.64	","	0.317136"
"8022.65	","	0.304212"
"8022.66	","	0.312173"
"8022.67	","	0.314373"
"8022.68	","	0.304552"
"8022.69	","	0.325472"
"8022.7	","	0.314912"
"8022.71	","	0.312332"
"8022.72	","	0.325367"
"8022.73	","	0.32914"
"8022.74	","	0.318598"
"8022.75	","	0.332903"
"8022.76	","	0.330482"
"8022.77	","	0.329797"
"8022.78	","	0.316036"
"8022.79	","	0.34564"
"8022.8	","	0.339371"
"8022.81	","	0.324363"
"8022.82	","	0.328789"
"8022.83	","	0.337032"
"8022.84	","	0.342756"
"8022.85	","	0.336834"
"8022.86	","	0.341994"
"8022.87	","	0.340361"
"8022.88	","	0.331651"
"8022.89	","	0.341155"
"8022.9	","	0.335033"
"8022.91	","	0.339776"
"8022.92	","	0.337929"
"8022.93	","	0.355579"
"8022.94	","	0.348427"
"8022.95	","	0.350103"
"8022.96	","	0.332793"
"8022.97	","	0.363974"
"8022.98	","	0.373547"
"8022.99	","	0.362999"
"8023	","	0.350649"
"8023.01	","	0.371641"
"8023.02	","	0.37428"
"8023.03	","	0.361025"
"8023.04	","	0.365015"
"8023.05	","	0.362771"
"8023.06	","	0.368979"
"8023.07	","	0.367255"
"8023.08	","	0.355861"
"8023.09	","	0.375027"
"8023.1	","	0.368073"
"8023.11	","	0.36916"
"8023.12	","	0.359611"
"8023.13	","	0.358525"
"8023.14	","	0.381049"
"8023.15	","	0.363328"
"8023.16	","	0.380512"
"8023.17	","	0.38452"
"8023.18	","	0.397126"
"8023.19	","	0.404409"
"8023.2	","	0.384349"
"8023.21	","	0.39625"
"8023.22	","	0.396353"
"8023.23	","	0.40861"
"8023.24	","	0.407493"
"8023.25	","	0.397909"
"8023.26	","	0.393149"
"8023.27	","	0.412503"
"8023.28	","	0.407213"
"8023.29	","	0.413747"
"8023.3	","	0.406275"
"8023.31	","	0.399773"
"8023.32	","	0.414028"
"8023.33	","	0.406723"
"8023.34	","	0.412173"
"8023.35	","	0.427975"
"8023.36	","	0.411516"
"8023.37	","	0.420113"
"8023.38	","	0.421398"
"8023.39	","	0.41762"
"8023.4	","	0.410113"
"8023.41	","	0.400733"
"8023.42	","	0.412345"
"8023.43	","	0.429687"
"8023.44	","	0.42097"
"8023.45	","	0.441941"
"8023.46	","	0.430139"
"8023.47	","	0.429561"
"8023.48	","	0.441697"
"8023.49	","	0.439216"
"8023.5	","	0.448434"
"8023.51	","	0.468077"
"8023.52	","	0.44601"
"8023.53	","	0.443127"
"8023.54	","	0.44622"
"8023.55	","	0.449342"
"8023.56	","	0.448728"
"8023.57	","	0.450173"
"8023.58	","	0.457728"
"8023.59	","	0.462805"
"8023.6	","	0.462999"
"8023.61	","	0.453184"
"8023.62	","	0.486302"
"8023.63	","	0.485188"
"8023.64	","	0.459435"
"8023.65	","	0.469062"
"8023.66	","	0.489619"
"8023.67	","	0.480789"
"8023.68	","	0.471489"
"8023.69	","	0.496963"
"8023.7	","	0.476283"
"8023.71	","	0.475632"
"8023.72	","	0.486994"
"8023.73	","	0.490499"
"8023.74	","	0.497779"
"8023.75	","	0.500563"
"8023.76	","	0.49015"
"8023.77	","	0.500331"
"8023.78	","	0.506451"
"8023.79	","	0.514028"
"8023.8	","	0.495215"
"8023.81	","	0.508434"
"8023.82	","	0.496289"
"8023.83	","	0.537077"
"8023.84	","	0.504904"
"8023.85	","	0.523218"
"8023.86	","	0.541865"
"8023.87	","	0.519792"
"8023.88	","	0.522911"
"8023.89	","	0.520557"
"8023.9	","	0.550112"
"8023.91	","	0.532138"
"8023.92	","	0.541664"
"8023.93	","	0.533605"
"8023.94	","	0.556109"
"8023.95	","	0.535337"
"8023.96	","	0.537835"
"8023.97	","	0.547777"
"8023.98	","	0.539872"
"8023.99	","	0.557731"
"8024	","	0.553731"
"8024.01	","	0.571631"
"8024.02	","	0.549802"
"8024.03	","	0.566458"
"8024.04	","	0.558958"
"8024.05	","	0.573927"
"8024.06	","	0.564164"
"8024.07	","	0.575809"
"8024.08	","	0.563336"
"8024.09	","	0.580299"
"8024.1	","	0.57599"
"8024.11	","	0.576723"
"8024.12	","	0.571478"
"8024.13	","	0.598252"
"8024.14	","	0.587643"
"8024.15	","	0.588037"
"8024.16	","	0.604876"
"8024.17	","	0.60275"
"8024.18	","	0.584675"
"8024.19	","	0.621902"
"8024.2	","	0.602314"
"8024.21	","	0.609691"
"8024.22	","	0.630739"
"8024.23	","	0.610153"
"8024.24	","	0.635927"
"8024.25	","	0.616105"
"8024.26	","	0.642674"
"8024.27	","	0.627618"
"8024.28	","	0.655502"
"8024.29	","	0.629821"
"8024.3	","	0.634702"
"8024.31	","	0.638466"
"8024.32	","	0.653471"
"8024.33	","	0.643518"
"8024.34	","	0.655377"
"8024.35	","	0.657476"
"8024.36	","	0.68098"
"8024.37	","	0.670113"
"8024.38	","	0.668156"
"8024.39	","	0.681574"
"8024.4	","	0.674104"
"8024.41	","	0.711782"
"8024.42	","	0.672336"
"8024.43	","	0.685681"
"8024.44	","	0.683311"
"8024.45	","	0.689818"
