# Atomic number Z= 29  Date:10-1-2023

# Number	ShakeI	ShakeF	2JJ	Probability
	174		M5		15d		0	2.94E-04
	175		M5		20d		0	1.62E-04
	176		M5		25d		0	4.40E-05
	177		M5		30d		0	2.48E-05
	178		M5		40d		0	1.01E-05
	179		M5		50d		0	5.09E-06
	180		K1		SUM		2	7.54881E-08
	181		K1		4s		2	0.00E+00
	182		K1		5s		2	3.78E-08
	183		K1		6s		2	1.56E-08
	184		K1		7s		2	7.35E-09
	185		K1		8s		2	4.45E-09
	186		K1		9s		2	2.61E-09
	187		K1		10s		2	1.82E-09
	188		K1		11s		2	1.21E-09
	189		K1		12s		2	9.18E-10
	190		K1		13s		2	6.56E-10
	191		K1		14s		2	5.26E-10
	192		K1		15s		2	4.06E-10
	193		K1		20s		2	1.51E-10
	194		K1		25s		2	6.87E-11
	195		K1		30s		2	3.81E-11
	196		K1		40s		2	1.55E-11
	197		K1		50s		2	7.58E-12
	198		L1		SUM		2	1.36523E-05
	199		L1		4s		2	1.21E-05
	200		L1		5s		2	1.29E-06
	201		L1		6s		2	6.91E-08
	202		L1		7s		2	4.56E-08
	203		L1		8s		2	8.87E-08
	204		L1		9s		2	1.67E-08
	205		L1		10s		2	7.42E-09
	206		L1		11s		2	2.15E-08
	207		L1		12s		2	1.56E-08
	208		L1		13s		2	3.66E-09
	209		L1		14s		2	1.12E-08
	210		L1		15s		2	1.19E-08
	211		L1		20s		2	6.28E-09
	212		L1		25s		2	8.41E-10
	213		L1		30s		2	8.16E-10
	214		L1		40s		2	5.37E-10
	215		L1		50s		2	1.90E-10
	216		M1		SUM		2	0.000498117
	217		M1		4s		2	1.80E-04
	218		M1		5s		2	1.83E-04
	219		M1		6s		2	8.42E-05
	220		M1		7s		2	3.64E-05
	221		M1		8s		2	1.52E-06
	222		M1		9s		2	3.68E-06
	223		M1		10s		2	2.55E-06
	224		M1		11s		2	1.78E-06
	225		M1		12s		2	1.05E-06
	226		M1		13s		2	1.14E-06
	227		M1		14s		2	1.17E-06
	228		M1		15s		2	5.00E-07
	229		M1		20s		2	8.21E-08
	230		M1		25s		2	9.21E-08
	231		M1		30s		2	4.59E-08
	232		M1		40s		2	2.79E-08
	233		M1		50s		2	1.18E-08
	234		N1		SUM		2	0.044614787
	235		N1		5s		2	3.76E-02
	236		N1		6s		2	4.23E-03
	237		N1		7s		2	1.25E-03
	238		N1		8s		2	5.58E-04
	239		N1		9s		2	3.03E-04
	240		N1		10s		2	1.85E-04
	241		N1		11s		2	1.22E-04
	242		N1		12s		2	8.53E-05
	243		N1		13s		2	6.20E-05
	244		N1		14s		2	2.83E-05
	245		N1		15s		2	3.59E-05
	246		N1		20s		2	1.10E-05
	247		N1		25s		2	5.88E-06
	248		N1		30s		2	2.10E-06
	249		N1		40s		2	2.68E-07
	250		N1		50s		2	4.39E-08
	251		L2		SUM		2	9.54282E-05
	252		L2		4p		2	7.45E-05
	253		L2		5p		2	1.39E-05
	254		L2		6p		2	3.29E-06
	255		L2		7p		2	3.31E-06
	256		L2		8p		2	1.97E-07
	257		L2		9p		2	1.26E-07
	258		L2		10p		2	2.52E-08
	259		L2		11p		2	7.50E-08
	260		L2		12p		2	5.74E-11
	261		L2		13p		2	4.59E-11
	262		L2		14p		2	4.38E-11
	263		L2		15p		2	3.71E-11
	264		L2		20p		2	7.61E-12
	265		L2		25p		2	3.66E-12
	266		L2		30p		2	2.03E-12
	267		L2		40p		2	4.07E-12
	268		L2		50p		2	2.00E-12
	269		L3		SUM		2	0.000272315
	270		L3		4p		2	1.65E-04
	271		L3		5p		2	4.74E-05
	272		L3		6p		2	2.51E-05
	273		L3		7p		2	6.63E-06
	274		L3		8p		2	7.67E-06
	275		L3		9p		2	5.04E-06
	276		L3		10p		2	3.42E-06
	277		L3		11p		2	2.42E-06
	278		L3		12p		2	1.79E-06
	279		L3		13p		2	1.35E-06
	280		L3		14p		2	1.05E-06
	281		L3		15p		2	8.26E-07
	282		L3		20p		2	3.14E-07
	283		L3		25p		2	1.52E-07
	284		L3		30p		2	8.46E-08
	285		L3		40p		2	3.41E-08
	286		L3		50p		2	1.70E-08
	287		M2		SUM		2	0.002132624
	288		M2		4p		2	1.55E-03
	289		M2		5p		2	4.02E-04
	290		M2		6p		2	1.68E-04
	291		M2		7p		2	4.46E-06
	292		M2		8p		2	1.62E-06
	293		M2		9p		2	9.67E-07
	294		M2		10p		2	4.96E-07
	295		M2		11p		2	3.42E-07
	296		M2		12p		2	2.45E-07
	297		M2		13p		2	1.02E-06
	298		M2		14p		2	1.68E-07
	299		M2		15p		2	1.33E-07
	300		M2		20p		2	5.70E-08
	301		M2		25p		2	2.17E-08
	302		M2		30p		2	1.20E-08
	303		M2		40p		2	4.78E-09
	304		M2		50p		2	2.37E-09
	305		M3		SUM		2	0.007888098
	306		M3		4p		2	4.04E-03
	307		M3		5p		2	1.79E-03
	308		M3		6p		2	6.36E-04
	309		M3		7p		2	4.66E-04
	310		M3		8p		2	2.69E-04
	311		M3		9p		2	1.69E-04
	312		M3		10p		2	1.14E-04
	313		M3		11p		2	8.03E-05
	314		M3		12p		2	5.89E-05
	315		M3		13p		2	4.44E-05
	316		M3		14p		2	3.44E-05
	317		M3		15p		2	2.72E-05
	318		M3		20p		2	1.05E-05
	319		M3		25p		2	4.96E-06
	320		M3		30p		2	2.76E-06
	321		M3		40p		2	1.11E-06
	322		M3		50p		2	5.54E-07
	323		M4		SUM		2	0.040560989
	324		M4		4d		2	2.26E-02
	325		M4		5d		2	1.14E-02
	326		M4		6d		2	4.62E-03
	327		M4		7d		2	1.40E-03
	328		M4		8d		2	2.80E-04
	329		M4		9d		2	1.68E-05
	330		M4		10d		2	5.34E-07
	331		M4		11d		2	1.23E-06
	332		M4		12d		2	2.96E-05
	333		M4		13d		2	2.57E-05
	334		M4		14d		2	1.17E-05
	335		M4		15d		2	1.74E-05
	336		M4		20d		2	5.38E-06
	337		M4		25d		2	1.91E-06
	338		M4		30d		2	8.60E-07
	339		M4		40d		2	2.84E-07
	340		M4		50d		2	1.32E-07
	341		M5		SUM		2	0.080694337
	342		M5		4d		2	3.69E-02
	343		M5		5d		2	1.81E-02
	344		M5		6d		2	8.59E-03
	345		M5		7d		2	4.87E-03
	346		M5		8d		2	3.14E-03
	347		M5		9d		2	2.09E-03
	348		M5		10d		2	1.45E-03
	349		M5		11d		2	1.04E-03
	350		M5		12d		2	7.80E-04
	351		M5		13d		2	5.99E-04
	352		M5		14d		2	4.73E-04
	353		M5		15d		2	3.77E-04
	354		M5		20d		2	1.50E-04
	355		M5		25d		2	7.41E-05
	356		M5		30d		2	4.20E-05
	357		M5		40d		2	1.73E-05
	358		M5		50d		2	8.72E-06
