# Atomic number Z= 29  Date:10-1-2023

# Number	Shake Electron	2JJ	Probability
	1		K1				0	2.69E-04
	2		L1				0	8.89E-04
	3		M1				0	3.07E-03
	4		N1				0	3.76E-02
	5		L2				0	1.52E-03
	6		L3				0	2.94E-03
	7		M2				0	5.46E-03
	8		M3				0	6.01E-03
	9		M4				0	1.50E-02
	10		M5				0	9.93E-03
	11		K1				2	0.000138887
	12		L1				2	0.000946132
	13		M1				2	0.003266248
	14		N1				2	0.045315756
	15		L2				2	0.001633528
	16		L3				2	0.003051602
	17		M2				2	0.005824368
	18		M3				2	0.007541782
	19		M4				2	0.01420167
	20		M5				2	0.001695208
