# Atomic number Z= 29  Date:10-1-2023

# Number	Shelli	2Ji	Eigi	Total Energy (eV)	Ground Energy(eV)	Partial Width (eV)
	1		K1K14s	 0	 1		-26601.90919		18359.97416			9.687882190242576
	2		K1L24s	 0	 1		-34939.51707		10022.36628         3.1666314662788846
	3		K1L34s	 2	 1		-34954.55156		10007.33179         3.8457445845393208
	4		K1L24s	 2	 2		-34930.82096		10031.06239         5.182941116757151
	5		K1L34s	 4	 1		-34964.43436		9997.44899          3.2029705352208815
	6		K1L14s	 0	 1		-34783.47505		10178.4083          1.958633296735281
	7		K1L14s	 2	 1		-34815.52405		10146.3593          4.4551180698624036
	8		K1M44s	 2	 1		-35968.08761		8993.79574          4.34638878345911
	9		K1M54s	 4	 1		-35968.41395		8993.4694           4.337100812377766
	10		K1M44s	 4	 2		-35968.11993		8993.76342          4.34283645686048
	11		K1M54s	 6	 1		-35968.46426		8993.41909          4.340216068434312
	12		K1M24s	 0	 1		-35884.27117		9077.61218          4.198781252503587
	13		K1M34s	 2	 1		-35886.25212		9075.63123          4.153095550730196
	14		K1M24s	 2	 2		-35883.28204		9078.60131          4.858157504880784
	15		K1M34s	 4	 1		-35887.47825		9074.4051           4.069730591726015
	16		K1M14s	 0	 1		-35837.40797		9124.47538          11.190931598171503
	17		K1M14s	 2	 1		-35838.89060		9122.99275          4.343251461181553
	18		L3L34s	 0	 1		-43029.41586		1932.46749          0.10501533510215882
	19		L2L24s	 0	 2		-42985.05055		1976.8328           0.106248129975516
	20		L2L34s	 2	 1		-43024.67741		1937.20594          0.10482005232861709
	21		L3L34s	 4	 1		-43042.69836		1919.18499          0.1034245808780965
	22		L2L34s	 4	 2		-43014.13842		1947.74493          0.10533233927178996
	23		L3M44s	 0	 1		-44013.50001		948.38334           0.040422329768109354
	24		L3M44s	 2	 1		-44013.86900		948.01435           0.04662613523035197
	25		L3M54s	 2	 2		-44012.34249		949.54086           0.050204368929677244
	26		L2M44s	 2	 3		-43993.00435		968.879             0.05149040412479564
	27		L3M54s	 4	 1		-44016.37961		945.50374           0.031194764786512286
	28		L3M44s	 4	 2		-44014.43764		947.44571           0.049333898630662114
	29		L2M44s	 4	 3		-43996.05209		965.83126           0.02350018264551827
	30		L2M54s	 4	 4		-43994.65794		967.22541           0.04530229730153123
	31		L3M44s	 6	 1		-44015.39436		946.48899           0.04133875747819311
	32		L3M54s	 6	 2		-44012.68213		949.20122           0.05753279075487996
	33		L2M54s	 6	 3		-43993.93488		967.94847           0.05204751263592086
