Transition register 	 Shell IS 	 IS Configuration 	 IS 2JJ 	 IS eigenvalue 	 IS higher configuration 	 IS percentage 	 Shell FS 	FS Configuration 	 FS 2JJ 	 FS eigenvalue 	 FS higher configuration 	 FS percentage 	 transition energy [eV] 	 intensity 	 intensity [eV] 	 width [eV] 
12 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s1 2s2 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6 	 100 	 2p_2p 	 (1s)2 (2s)2 (2p)4 (3s)2 (3p)6 (3d)10 (4s)1  	 3 	 2 	 2p*1 2p3 1s2 2s2 3s2 4s1 3p*2 3p4 3d*4 3d6  	 99.99616 	 7.0309948E+03 	 1.38193e-05 	 0.0971634 	 3.33086
13 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s1 2s2 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6 	 100 	 2p_2p 	 (1s)2 (2s)2 (2p)4 (3s)2 (3p)6 (3d)10 (4s)1  	 1 	 1 	 2p*2 2p2 1s2 2s2 3s2 4s1 3p*2 3p4 3d*4 3d6  	 83.54806 	 7.0356903E+03 	 0.00135984 	 9.56741 	 3.32726
14 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s1 2s2 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6 	 100 	 2p_2p 	 (1s)2 (2s)2 (2p)4 (3s)2 (3p)6 (3d)10 (4s)1  	 3 	 1 	 2p*2 2p2 1s2 2s2 3s2 4s1 3p*2 3p4 3d*4 3d6  	 94.43797 	 7.0488567E+03 	 0.00298692 	 21.0544 	 3.30376
15 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s1 2s2 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6 	 100 	 2p_2p 	 (1s)2 (2s)2 (2p)4 (3s)2 (3p)6 (3d)10 (4s)1  	 5 	 1 	 2p*2 2p2 1s2 2s2 3s2 4s1 3p*2 3p4 3d*4 3d6  	 94.31789 	 7.0490514E+03 	 0.00537105 	 37.8608 	 3.29993
16 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s1 2s2 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6 	 100 	 2s_3s 	 (1s)2 (2s)1 (2p)6 (3s)1 (3p)6 (3d)10 (4s)1  	 1 	 2 	   	 0 	 7.7282242E+03 	 0.00246709 	 19.0662 	 50.2245
17 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s1 2s2 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6 	 100 	 2s_3s 	 (1s)2 (2s)1 (2p)6 (3s)1 (3p)6 (3d)10 (4s)1  	 1 	 1 	   	 0 	 7.7292681E+03 	 1.81152e-05 	 0.140017 	 9.6811
18 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s1 2s2 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6 	 100 	 2s_3s 	 (1s)2 (2s)1 (2p)6 (3s)1 (3p)6 (3d)10 (4s)1  	 3 	 1 	 1s2 2s1 3s1 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6  	 100 	 7.7294646E+03 	 1.1371e-09 	 8.78917e-06 	 7.56495
19 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s1 2s2 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6 	 100 	 2s_3p 	 (1s)2 (2s)1 (2p)6 (3s)2 (3p)5 (3d)10 (4s)1  	 3 	 3 	 3p*1 3p4 1s2 2s1 3s2 4s1 2p*2 2p4 3d*4 3d6  	 87.12668 	 7.7724920E+03 	 0.000703826 	 5.47048 	 9.20135
20 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s1 2s2 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6 	 100 	 2s_3p 	 (1s)2 (2s)1 (2p)6 (3s)2 (3p)5 (3d)10 (4s)1  	 1 	 3 	 3p*1 3p4 1s2 2s1 3s2 4s1 2p*2 2p4 3d*4 3d6  	 90.04916 	 7.7725585E+03 	 0.00128054 	 9.95307 	 12.0511
21 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s1 2s2 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6 	 100 	 2s_3p 	 (1s)2 (2s)1 (2p)6 (3s)2 (3p)5 (3d)10 (4s)1  	 1 	 2 	 3p*1 3p4 1s2 2s1 3s2 4s1 2p*2 2p4 3d*4 3d6  	 89.15972 	 7.7733843E+03 	 2.67725e-05 	 0.208113 	 7.0904
