# Atomic number Z= 29  Date:04-11-2021

# Record	Shelli	  2Ji		  Eigi --->		Shellf	  2Jf			Eigf		   Energy (eV)			 Rate(1/s)			 Width(eV)
	  57	   K1	    0	         1 ---> 	 L3M3	    5	         1	     7.9455553E+03	       3.81532e-05	           1.51731
	  58	   K1	    0	         1 ---> 	 L3M3	    7	         1	     7.9459555E+03	       7.07802e-09	           1.51731
	  59	   K1	    0	         1 ---> 	 L3M3	    1	         1	     7.9459949E+03	       2.08803e-06	           1.51731
	  60	   K1	    0	         1 ---> 	 L3M3	    3	         1	     7.9460559E+03	       1.35347e-06	           1.51731
	  61	   K1	    0	         1 ---> 	 L2M4	    3	         7	     7.9992621E+03	       1.04715e-07	           1.51731
	  62	   K1	    0	         1 ---> 	 L2M4	    1	         4	     7.9994595E+03	       2.99362e-06	           1.51731
	  63	   K1	    0	         1 ---> 	 L2M5	    5	         7	     8.0001226E+03	       3.18109e-05	           1.51731
	  64	   K1	    0	         1 ---> 	 L2M5	    7	         4	     8.0003914E+03	       0.000369958	           1.51731
	  65	   K1	    0	         1 ---> 	 L2M5	    3	         6	     8.0008542E+03	       5.32799e-06	           1.51731
	  66	   K1	    0	         1 ---> 	 L2M5	    5	         6	     8.0011536E+03	       4.20455e-06	           1.51731
	  67	   K1	    0	         1 ---> 	 L2M4	    5	         5	     8.0023545E+03	       0.000103378	           1.51731
	  68	   K1	    0	         1 ---> 	 L2M4	    3	         5	     8.0025593E+03	       1.73267e-07	           1.51731
	  69	   K1	    0	         1 ---> 	 L2N1	    1	         1	     8.0107521E+03	       4.26107e-07	           1.51731
	  70	   K1	    0	         1 ---> 	 L3M5	    5	         4	     8.0270196E+03	       0.000290936	           1.51731
	  71	   K1	    0	         1 ---> 	 L3M5	    1	         3	     8.0275805E+03	       1.81093e-08	           1.51731
	  72	   K1	    0	         1 ---> 	 L3M5	    3	         4	     8.0277068E+03	       3.24673e-06	           1.51731
	  73	   K1	    0	         1 ---> 	 L3M4	    7	         3	     8.0280228E+03	       0.000113544	           1.51731
	  74	   K1	    0	         1 ---> 	 L3M4	    1	         2	     8.0288077E+03	       4.37176e-06	           1.51731
	  75	   K1	    0	         1 ---> 	 L3M4	    3	         3	     8.0291591E+03	       3.72345e-06	           1.51731
	  76	   K1	    0	         1 ---> 	 L3M4	    1	         1	     8.0292750E+03	       1.21186e-06	           1.51731
	  77	   K1	    0	         1 ---> 	 L3M4	    3	         2	     8.0297385E+03	       2.49772e-06	           1.51731
	  78	   K1	    0	         1 ---> 	 L3M4	    5	         3	     8.0298689E+03	        2.8257e-05	           1.51731
	  79	   K1	    0	         1 ---> 	 L3M4	    5	         2	     8.0306225E+03	       6.95569e-05	           1.51731
	  80	   K1	    0	         1 ---> 	 L3M5	    7	         2	     8.0308453E+03	       4.76787e-05	           1.51731
	  81	   K1	    0	         1 ---> 	 L3M5	    7	         1	     8.0317007E+03	       0.000182869	           1.51731
	  82	   K1	    0	         1 ---> 	 L3M5	    5	         1	     8.0317531E+03	       1.19862e-05	           1.51731
	  83	   K1	    0	         1 ---> 	 L3M5	    3	         1	     8.0317964E+03	       4.75908e-07	           1.51731
	  84	   K1	    0	         1 ---> 	 L3M5	    9	         1	     8.0320516E+03	       8.95405e-09	           1.51731
	  85	   K1	    0	         1 ---> 	 L3N1	    3	         1	     8.0388171E+03	       1.36925e-07	           1.51731
	  86	   K1	    0	         1 ---> 	 M1M1	    1	         1	     8.7010620E+03	       0.000167593	           1.51731
	  87	   K1	    0	         1 ---> 	 M1M3	    3	         3	     8.7418231E+03	       0.000205614	           1.51731
	  88	   K1	    0	         1 ---> 	 M1M3	    1	         3	     8.7419830E+03	       0.000114329	           1.51731
